painel,quebra,doador,peso,rmspe_pre,rmspe_pos,n_pre,n_pos,seed,placebo_in_space_alvo
A_area_WSF,2005,chimoio,0.0,0.319,1.5675,12.0,11.0,13579.0,
A_area_WSF,2005,quelimane,0.5581,0.319,1.5675,12.0,11.0,13579.0,
A_area_WSF,2005,lichinga,0.4419,0.319,1.5675,12.0,11.0,13579.0,
A_area_WSF,2005,xaixai,0.0,0.319,1.5675,12.0,11.0,13579.0,
A_area_WSF,2005,inhambane,0.0,0.319,1.5675,12.0,11.0,13579.0,
A_area_WSF,2005,-,,0.2435,1.4362,,,,chimoio
A_area_WSF,2005,-,,0.3203,1.6766,,,,quelimane
A_area_WSF,2005,-,,0.4926,1.6117,,,,lichinga
A_area_WSF,2005,-,,0.762,1.3486,,,,xaixai
A_area_WSF,2005,-,,0.3625,1.1009,,,,inhambane
A_area_WSF,2011,chimoio,0.7694,0.5025,1.1822,18.0,5.0,13579.0,
A_area_WSF,2011,quelimane,0.1482,0.5025,1.1822,18.0,5.0,13579.0,
A_area_WSF,2011,lichinga,0.0824,0.5025,1.1822,18.0,5.0,13579.0,
A_area_WSF,2011,xaixai,0.0,0.5025,1.1822,18.0,5.0,13579.0,
A_area_WSF,2011,inhambane,0.0,0.5025,1.1822,18.0,5.0,13579.0,
A_area_WSF,2011,-,,0.3498,0.9196,,,,chimoio
A_area_WSF,2011,-,,0.5031,1.4171,,,,quelimane
A_area_WSF,2011,-,,0.6709,1.2439,,,,lichinga
A_area_WSF,2011,-,,0.7656,1.1749,,,,xaixai
A_area_WSF,2011,-,,0.4525,0.5855,,,,inhambane
B_luz_HARM,2016,chimoio,1.0,0.0427,0.3138,3.0,10.0,13579.0,
B_luz_HARM,2016,quelimane,0.0,0.0427,0.3138,3.0,10.0,13579.0,
B_luz_HARM,2016,lichinga,0.0,0.0427,0.3138,3.0,10.0,13579.0,
B_luz_HARM,2016,xaixai,0.0,0.0427,0.3138,3.0,10.0,13579.0,
B_luz_HARM,2016,inhambane,0.0,0.0427,0.3138,3.0,10.0,13579.0,
B_luz_HARM,2016,-,,0.025,0.2921,,,,chimoio
B_luz_HARM,2016,-,,0.0129,0.1305,,,,quelimane
B_luz_HARM,2016,-,,0.0,0.1791,,,,lichinga
B_luz_HARM,2016,-,,0.0065,0.1813,,,,xaixai
B_luz_HARM,2016,-,,0.0117,0.3949,,,,inhambane
B_luz_HARM,2022,chimoio,0.0,0.1049,0.4985,9.0,4.0,13579.0,
B_luz_HARM,2022,quelimane,0.0,0.1049,0.4985,9.0,4.0,13579.0,
B_luz_HARM,2022,lichinga,0.0,0.1049,0.4985,9.0,4.0,13579.0,
B_luz_HARM,2022,xaixai,0.0,0.1049,0.4985,9.0,4.0,13579.0,
B_luz_HARM,2022,inhambane,1.0,0.1049,0.4985,9.0,4.0,13579.0,
B_luz_HARM,2022,-,,0.0494,0.1699,,,,chimoio
B_luz_HARM,2022,-,,0.0461,0.1352,,,,quelimane
B_luz_HARM,2022,-,,0.0627,0.0754,,,,lichinga
B_luz_HARM,2022,-,,0.0679,0.0753,,,,xaixai
B_luz_HARM,2022,-,,0.0328,0.312,,,,inhambane
