elasticidade,fase,janela,n_pontos,n_pontos_janela_homogenea,selo,nivel_fonte,estimavel,motivo_nao_estimavel,eta,ic95_inf,ic95_sup,ressalva,h4_reabilitada,nota_h4
area-luz,linha_de_base_1997_2005,1997-2005,2,0.0,estimado,A,False,"2 pontos na fase, dos quais 0 na janela homogenea das luzes (>=2013, EMENDA E4). Fora da janela a serie de luz atravessa a costura DMSP->VIIRS: a associacao mediria o produto, nao a cidade.",,,,,False,"H4 exige as celulas area-luz do bust e da transicao, que sao exatamente as nao estimaveis. A trajetoria isolada das luzes e condicao NECESSARIA E NAO SUFICIENTE. H4 permanece NAO TESTADA."
populacao-luz,linha_de_base_1997_2005,1997-2005,0,,-,A,False,"populacao em nivel A existe so em 2017 (COD-PS, observado) e 2025 (COD-PS, projecao do INE, MODELADO). Dois pontos, um deles modelado. 1997 e nivel B; 2007 e nivel C. Nao estimavel em fase nenhuma.",,,,,False,"H4 exige as celulas area-luz do bust e da transicao, que sao exatamente as nao estimaveis. A trajetoria isolada das luzes e condicao NECESSARIA E NAO SUFICIENTE. H4 permanece NAO TESTADA."
area-luz,implantacao_2005_2011,2005-2011,4,0.0,estimado,A,False,"4 pontos na fase, dos quais 0 na janela homogenea das luzes (>=2013, EMENDA E4). Fora da janela a serie de luz atravessa a costura DMSP->VIIRS: a associacao mediria o produto, nao a cidade.",,,,,False,"H4 exige as celulas area-luz do bust e da transicao, que sao exatamente as nao estimaveis. A trajetoria isolada das luzes e condicao NECESSARIA E NAO SUFICIENTE. H4 permanece NAO TESTADA."
populacao-luz,implantacao_2005_2011,2005-2011,0,,-,A,False,"populacao em nivel A existe so em 2017 (COD-PS, observado) e 2025 (COD-PS, projecao do INE, MODELADO). Dois pontos, um deles modelado. 1997 e nivel B; 2007 e nivel C. Nao estimavel em fase nenhuma.",,,,,False,"H4 exige as celulas area-luz do bust e da transicao, que sao exatamente as nao estimaveis. A trajetoria isolada das luzes e condicao NECESSARIA E NAO SUFICIENTE. H4 permanece NAO TESTADA."
area-luz,boom_2011_2015,2011-2015,5,3.0,estimado,A,True,,0.44,-6.308,7.189,"associacao, nao elasticidade causal; 3 pontos; causalidade reversa luz-populacao declarada e NAO resolvida (§5.3).",False,"H4 exige as celulas area-luz do bust e da transicao, que sao exatamente as nao estimaveis. A trajetoria isolada das luzes e condicao NECESSARIA E NAO SUFICIENTE. H4 permanece NAO TESTADA."
populacao-luz,boom_2011_2015,2011-2015,0,,-,A,False,"populacao em nivel A existe so em 2017 (COD-PS, observado) e 2025 (COD-PS, projecao do INE, MODELADO). Dois pontos, um deles modelado. 1997 e nivel B; 2007 e nivel C. Nao estimavel em fase nenhuma.",,,,,False,"H4 exige as celulas area-luz do bust e da transicao, que sao exatamente as nao estimaveis. A trajetoria isolada das luzes e condicao NECESSARIA E NAO SUFICIENTE. H4 permanece NAO TESTADA."
area-luz,bust_2015_2019,2015-2019,1,1.0,estimado,A,False,nao existe serie de area utilizavel pos-2015: WSF termina em 2015; GHSL observado e quinquenal e nao-decrescente; E2025 extrapolado; serie propria proibida (ADR 0013); par 2015-2020 proibido.,,,,,False,"H4 exige as celulas area-luz do bust e da transicao, que sao exatamente as nao estimaveis. A trajetoria isolada das luzes e condicao NECESSARIA E NAO SUFICIENTE. H4 permanece NAO TESTADA."
populacao-luz,bust_2015_2019,2015-2019,0,,-,A,False,"populacao em nivel A existe so em 2017 (COD-PS, observado) e 2025 (COD-PS, projecao do INE, MODELADO). Dois pontos, um deles modelado. 1997 e nivel B; 2007 e nivel C. Nao estimavel em fase nenhuma.",,,,,False,"H4 exige as celulas area-luz do bust e da transicao, que sao exatamente as nao estimaveis. A trajetoria isolada das luzes e condicao NECESSARIA E NAO SUFICIENTE. H4 permanece NAO TESTADA."
area-luz,transicao_2019_2025,2019-2025,0,0.0,estimado,A,False,nao existe serie de area utilizavel pos-2015: WSF termina em 2015; GHSL observado e quinquenal e nao-decrescente; E2025 extrapolado; serie propria proibida (ADR 0013); par 2015-2020 proibido.,,,,,False,"H4 exige as celulas area-luz do bust e da transicao, que sao exatamente as nao estimaveis. A trajetoria isolada das luzes e condicao NECESSARIA E NAO SUFICIENTE. H4 permanece NAO TESTADA."
populacao-luz,transicao_2019_2025,2019-2025,0,,-,A,False,"populacao em nivel A existe so em 2017 (COD-PS, observado) e 2025 (COD-PS, projecao do INE, MODELADO). Dois pontos, um deles modelado. 1997 e nivel B; 2007 e nivel C. Nao estimavel em fase nenhuma.",,,,,False,"H4 exige as celulas area-luz do bust e da transicao, que sao exatamente as nao estimaveis. A trajetoria isolada das luzes e condicao NECESSARIA E NAO SUFICIENTE. H4 permanece NAO TESTADA."
