ano,aplicavel,corte_fracao_ghsl,principal,area_pipeline_km2,area_ghsl_km2,razao_areas,jaccard,recall_sobre_ghsl,motivo
2000,True,0.1,False,13.806,39.0546,0.353505092869982,0.3206367765435985,0.32861685947365993,
2000,True,0.25,True,13.806,20.4327,0.6756816279786811,0.45324318129727253,0.5226181561908118,
2000,True,0.5,False,13.806,0.1134,121.74603174603173,0.008148099863111923,0.9920634920634921,
2005,True,0.1,False,20.4777,46.7406,0.4381137597720183,0.3824269796024137,0.3978318635190819,
2005,True,0.25,True,20.4777,22.0446,0.9289213684984078,0.48416787082993024,0.6292561443618846,
2005,True,0.5,False,20.4777,0.117,175.0230769230769,0.00571353228145739,1.0,
2010,True,0.1,False,29.8692,56.8251,0.5256339188140452,0.43461166132995754,0.4621866041590776,
2010,True,0.25,True,29.8692,26.1783,1.1409908206415236,0.5245171240422042,0.7366177330078729,
2010,True,0.5,False,29.8692,0.1224,244.02941176470588,0.0040978666988067975,1.0,
2015,True,0.1,False,41.6592,63.6183,0.6548304497290874,0.514141479515889,0.5619137889569511,
2015,True,0.25,True,41.6592,34.8867,1.1941284214328096,0.5573398275135957,0.7852333410726724,
2015,True,0.5,False,41.6592,0.1386,300.57142857142856,0.003283646575934327,0.987012987012987,
2020,True,0.1,False,44.2872,69.6645,0.6357212066403979,0.5083390912773105,0.5512692978489762,
2020,True,0.25,True,44.2872,36.4041,1.2165442903409232,0.569625350140056,0.8043956587307474,
2020,True,0.5,False,44.2872,0.1386,319.53246753246754,0.003109187343778577,0.9935064935064936,
2025,False,,,,,,,,GHSL R2023A só tem épocas observadas até 2020; 2025/2030 são extrapoladas por modelo e não servem de referência para uma classificação observada.
