ano,classe_mapa,classe_referencia,n,proporcao_de_area
2000,construido,construido,11,0.00268
2000,construido,nao_construido,10,0.002436
2000,nao_construido,construido,1,0.000244
2000,nao_construido,nao_construido,25,0.994641
2005,construido,construido,14,0.004825
2005,construido,nao_construido,9,0.003102
2005,nao_construido,construido,0,0.0
2005,nao_construido,nao_construido,25,0.992074
2010,construido,construido,6,0.003216
2010,construido,nao_construido,15,0.008041
2010,nao_construido,construido,0,0.0
2010,nao_construido,nao_construido,23,0.988743
2015,construido,construido,13,0.008376
2015,construido,nao_construido,9,0.005799
2015,nao_construido,construido,1,0.042806
2015,nao_construido,nao_construido,24,0.94302
2020,construido,construido,10,0.007177
2020,construido,nao_construido,11,0.007895
2020,nao_construido,construido,5,0.124372
2020,nao_construido,nao_construido,21,0.860556
2025,construido,construido,15,0.012041
2025,construido,nao_construido,9,0.007224
2025,nao_construido,construido,0,0.0
2025,nao_construido,nao_construido,24,0.980735
