ano,camada,area_sem_permanencia_km2,area_publicada_km2,cobertura_poligonos_maus,area_poligonos_maus_km2,area_envelope_busca_km2,mediana_ndvi_seca_paisagem,mediana_ndvi_chuva_paisagem,razao_verde_limiar,selo,nota
2000,industrial,0.000,0.000,0.0000,59.185,116.438,0.2320,0.4736,0.6,observado,"Pegada classificada por assinatura própria (solo/rocha exposto persistente: NDVI de seca E de chuva abaixo de 0.6 da mediana da paisagem do ano) unida ao construído do ano, dentro do envelope de busca. NÃO é interseção com construído — ver docs/ADR/0011. `cobertura_poligonos_maus` só se aplica a `industrial` e mede quanto da referência externa (Maus et al. v2, Sentinel-2 2017-2019) a camada encontra; em 2000 e 2005 o valor baixo é o resultado esperado (placebo temporal: a mina não existia). O limiar foi calibrado em 2020 contra essa mesma referência, então a concordância de 2020 não é validação independente. **R2 (permanência) FOI REMOVIDO das duas pegadas** em docs/ADR/0014: cava é reabilitada e povoado pode ser abandonado, e a permanência tornava abandono indetectável por construção (pergunta 3 de §1). Por isso `area_sem_permanencia_km2` e `area_publicada_km2` são agora iguais nesta tabela; R2 continua valendo só para `urbano`."
2000,reassentamento,0.000,0.000,,59.185,,0.2320,0.4736,0.6,observado,"Pegada classificada por assinatura própria (solo/rocha exposto persistente: NDVI de seca E de chuva abaixo de 0.6 da mediana da paisagem do ano) unida ao construído do ano, dentro do envelope de busca. NÃO é interseção com construído — ver docs/ADR/0011. `cobertura_poligonos_maus` só se aplica a `industrial` e mede quanto da referência externa (Maus et al. v2, Sentinel-2 2017-2019) a camada encontra; em 2000 e 2005 o valor baixo é o resultado esperado (placebo temporal: a mina não existia). O limiar foi calibrado em 2020 contra essa mesma referência, então a concordância de 2020 não é validação independente. **R2 (permanência) FOI REMOVIDO das duas pegadas** em docs/ADR/0014: cava é reabilitada e povoado pode ser abandonado, e a permanência tornava abandono indetectável por construção (pergunta 3 de §1). Por isso `area_sem_permanencia_km2` e `area_publicada_km2` são agora iguais nesta tabela; R2 continua valendo só para `urbano`."
2005,industrial,0.000,0.000,0.0000,59.185,116.438,0.2316,0.5425,0.6,observado,"Pegada classificada por assinatura própria (solo/rocha exposto persistente: NDVI de seca E de chuva abaixo de 0.6 da mediana da paisagem do ano) unida ao construído do ano, dentro do envelope de busca. NÃO é interseção com construído — ver docs/ADR/0011. `cobertura_poligonos_maus` só se aplica a `industrial` e mede quanto da referência externa (Maus et al. v2, Sentinel-2 2017-2019) a camada encontra; em 2000 e 2005 o valor baixo é o resultado esperado (placebo temporal: a mina não existia). O limiar foi calibrado em 2020 contra essa mesma referência, então a concordância de 2020 não é validação independente. **R2 (permanência) FOI REMOVIDO das duas pegadas** em docs/ADR/0014: cava é reabilitada e povoado pode ser abandonado, e a permanência tornava abandono indetectável por construção (pergunta 3 de §1). Por isso `area_sem_permanencia_km2` e `area_publicada_km2` são agora iguais nesta tabela; R2 continua valendo só para `urbano`."
2005,reassentamento,0.000,0.000,,59.185,,0.2316,0.5425,0.6,observado,"Pegada classificada por assinatura própria (solo/rocha exposto persistente: NDVI de seca E de chuva abaixo de 0.6 da mediana da paisagem do ano) unida ao construído do ano, dentro do envelope de busca. NÃO é interseção com construído — ver docs/ADR/0011. `cobertura_poligonos_maus` só se aplica a `industrial` e mede quanto da referência externa (Maus et al. v2, Sentinel-2 2017-2019) a camada encontra; em 2000 e 2005 o valor baixo é o resultado esperado (placebo temporal: a mina não existia). O limiar foi calibrado em 2020 contra essa mesma referência, então a concordância de 2020 não é validação independente. **R2 (permanência) FOI REMOVIDO das duas pegadas** em docs/ADR/0014: cava é reabilitada e povoado pode ser abandonado, e a permanência tornava abandono indetectável por construção (pergunta 3 de §1). Por isso `area_sem_permanencia_km2` e `area_publicada_km2` são agora iguais nesta tabela; R2 continua valendo só para `urbano`."
2010,industrial,7.431,7.431,0.0696,59.185,116.438,0.3599,0.4770,0.6,observado,"Pegada classificada por assinatura própria (solo/rocha exposto persistente: NDVI de seca E de chuva abaixo de 0.6 da mediana da paisagem do ano) unida ao construído do ano, dentro do envelope de busca. NÃO é interseção com construído — ver docs/ADR/0011. `cobertura_poligonos_maus` só se aplica a `industrial` e mede quanto da referência externa (Maus et al. v2, Sentinel-2 2017-2019) a camada encontra; em 2000 e 2005 o valor baixo é o resultado esperado (placebo temporal: a mina não existia). O limiar foi calibrado em 2020 contra essa mesma referência, então a concordância de 2020 não é validação independente. **R2 (permanência) FOI REMOVIDO das duas pegadas** em docs/ADR/0014: cava é reabilitada e povoado pode ser abandonado, e a permanência tornava abandono indetectável por construção (pergunta 3 de §1). Por isso `area_sem_permanencia_km2` e `area_publicada_km2` são agora iguais nesta tabela; R2 continua valendo só para `urbano`."
2010,reassentamento,1.204,1.204,,59.185,,0.3599,0.4770,0.6,observado,"Pegada classificada por assinatura própria (solo/rocha exposto persistente: NDVI de seca E de chuva abaixo de 0.6 da mediana da paisagem do ano) unida ao construído do ano, dentro do envelope de busca. NÃO é interseção com construído — ver docs/ADR/0011. `cobertura_poligonos_maus` só se aplica a `industrial` e mede quanto da referência externa (Maus et al. v2, Sentinel-2 2017-2019) a camada encontra; em 2000 e 2005 o valor baixo é o resultado esperado (placebo temporal: a mina não existia). O limiar foi calibrado em 2020 contra essa mesma referência, então a concordância de 2020 não é validação independente. **R2 (permanência) FOI REMOVIDO das duas pegadas** em docs/ADR/0014: cava é reabilitada e povoado pode ser abandonado, e a permanência tornava abandono indetectável por construção (pergunta 3 de §1). Por isso `area_sem_permanencia_km2` e `area_publicada_km2` são agora iguais nesta tabela; R2 continua valendo só para `urbano`."
2015,industrial,31.546,31.546,0.4588,59.185,116.438,0.4112,0.6702,0.6,observado,"Pegada classificada por assinatura própria (solo/rocha exposto persistente: NDVI de seca E de chuva abaixo de 0.6 da mediana da paisagem do ano) unida ao construído do ano, dentro do envelope de busca. NÃO é interseção com construído — ver docs/ADR/0011. `cobertura_poligonos_maus` só se aplica a `industrial` e mede quanto da referência externa (Maus et al. v2, Sentinel-2 2017-2019) a camada encontra; em 2000 e 2005 o valor baixo é o resultado esperado (placebo temporal: a mina não existia). O limiar foi calibrado em 2020 contra essa mesma referência, então a concordância de 2020 não é validação independente. **R2 (permanência) FOI REMOVIDO das duas pegadas** em docs/ADR/0014: cava é reabilitada e povoado pode ser abandonado, e a permanência tornava abandono indetectável por construção (pergunta 3 de §1). Por isso `area_sem_permanencia_km2` e `area_publicada_km2` são agora iguais nesta tabela; R2 continua valendo só para `urbano`."
2015,reassentamento,1.646,1.646,,59.185,,0.4112,0.6702,0.6,observado,"Pegada classificada por assinatura própria (solo/rocha exposto persistente: NDVI de seca E de chuva abaixo de 0.6 da mediana da paisagem do ano) unida ao construído do ano, dentro do envelope de busca. NÃO é interseção com construído — ver docs/ADR/0011. `cobertura_poligonos_maus` só se aplica a `industrial` e mede quanto da referência externa (Maus et al. v2, Sentinel-2 2017-2019) a camada encontra; em 2000 e 2005 o valor baixo é o resultado esperado (placebo temporal: a mina não existia). O limiar foi calibrado em 2020 contra essa mesma referência, então a concordância de 2020 não é validação independente. **R2 (permanência) FOI REMOVIDO das duas pegadas** em docs/ADR/0014: cava é reabilitada e povoado pode ser abandonado, e a permanência tornava abandono indetectável por construção (pergunta 3 de §1). Por isso `area_sem_permanencia_km2` e `area_publicada_km2` são agora iguais nesta tabela; R2 continua valendo só para `urbano`."
2020,industrial,41.494,41.494,0.5919,59.185,116.438,0.2609,0.5788,0.6,observado,"Pegada classificada por assinatura própria (solo/rocha exposto persistente: NDVI de seca E de chuva abaixo de 0.6 da mediana da paisagem do ano) unida ao construído do ano, dentro do envelope de busca. NÃO é interseção com construído — ver docs/ADR/0011. `cobertura_poligonos_maus` só se aplica a `industrial` e mede quanto da referência externa (Maus et al. v2, Sentinel-2 2017-2019) a camada encontra; em 2000 e 2005 o valor baixo é o resultado esperado (placebo temporal: a mina não existia). O limiar foi calibrado em 2020 contra essa mesma referência, então a concordância de 2020 não é validação independente. **R2 (permanência) FOI REMOVIDO das duas pegadas** em docs/ADR/0014: cava é reabilitada e povoado pode ser abandonado, e a permanência tornava abandono indetectável por construção (pergunta 3 de §1). Por isso `area_sem_permanencia_km2` e `area_publicada_km2` são agora iguais nesta tabela; R2 continua valendo só para `urbano`."
2020,reassentamento,0.704,0.704,,59.185,,0.2609,0.5788,0.6,observado,"Pegada classificada por assinatura própria (solo/rocha exposto persistente: NDVI de seca E de chuva abaixo de 0.6 da mediana da paisagem do ano) unida ao construído do ano, dentro do envelope de busca. NÃO é interseção com construído — ver docs/ADR/0011. `cobertura_poligonos_maus` só se aplica a `industrial` e mede quanto da referência externa (Maus et al. v2, Sentinel-2 2017-2019) a camada encontra; em 2000 e 2005 o valor baixo é o resultado esperado (placebo temporal: a mina não existia). O limiar foi calibrado em 2020 contra essa mesma referência, então a concordância de 2020 não é validação independente. **R2 (permanência) FOI REMOVIDO das duas pegadas** em docs/ADR/0014: cava é reabilitada e povoado pode ser abandonado, e a permanência tornava abandono indetectável por construção (pergunta 3 de §1). Por isso `area_sem_permanencia_km2` e `area_publicada_km2` são agora iguais nesta tabela; R2 continua valendo só para `urbano`."
