razao_verde,buffer_envelope_m,janela_fecho_px,ano,area_km2,cobertura_poligonos_maus,adotado,nota
0.5,250.0,3,2000,0.0,0.0,False,"Varredura dos três parâmetros livres da regra de pegada minerária (docs/ADR/0011). A linha com adotado=True é a configuração publicada em pegada_por_ano.csv. Área após permanência, acumulada desde 2006. AUDITORIA, não produto: nenhum número do artigo ou do app sai daqui."
0.5,250.0,3,2005,0.0,0.0,False,"Varredura dos três parâmetros livres da regra de pegada minerária (docs/ADR/0011). A linha com adotado=True é a configuração publicada em pegada_por_ano.csv. Área após permanência, acumulada desde 2006. AUDITORIA, não produto: nenhum número do artigo ou do app sai daqui."
0.5,250.0,3,2010,2.803,0.0387,False,"Varredura dos três parâmetros livres da regra de pegada minerária (docs/ADR/0011). A linha com adotado=True é a configuração publicada em pegada_por_ano.csv. Área após permanência, acumulada desde 2006. AUDITORIA, não produto: nenhum número do artigo ou do app sai daqui."
0.5,250.0,3,2015,23.409,0.3795,False,"Varredura dos três parâmetros livres da regra de pegada minerária (docs/ADR/0011). A linha com adotado=True é a configuração publicada em pegada_por_ano.csv. Área após permanência, acumulada desde 2006. AUDITORIA, não produto: nenhum número do artigo ou do app sai daqui."
0.5,250.0,3,2020,37.091,0.5884,False,"Varredura dos três parâmetros livres da regra de pegada minerária (docs/ADR/0011). A linha com adotado=True é a configuração publicada em pegada_por_ano.csv. Área após permanência, acumulada desde 2006. AUDITORIA, não produto: nenhum número do artigo ou do app sai daqui."
0.5,250.0,3,2025,48.295,0.7131,False,"Varredura dos três parâmetros livres da regra de pegada minerária (docs/ADR/0011). A linha com adotado=True é a configuração publicada em pegada_por_ano.csv. Área após permanência, acumulada desde 2006. AUDITORIA, não produto: nenhum número do artigo ou do app sai daqui."
0.5,250.0,5,2000,0.0,0.0,False,"Varredura dos três parâmetros livres da regra de pegada minerária (docs/ADR/0011). A linha com adotado=True é a configuração publicada em pegada_por_ano.csv. Área após permanência, acumulada desde 2006. AUDITORIA, não produto: nenhum número do artigo ou do app sai daqui."
0.5,250.0,5,2005,0.0,0.0,False,"Varredura dos três parâmetros livres da regra de pegada minerária (docs/ADR/0011). A linha com adotado=True é a configuração publicada em pegada_por_ano.csv. Área após permanência, acumulada desde 2006. AUDITORIA, não produto: nenhum número do artigo ou do app sai daqui."
0.5,250.0,5,2010,3.349,0.0455,False,"Varredura dos três parâmetros livres da regra de pegada minerária (docs/ADR/0011). A linha com adotado=True é a configuração publicada em pegada_por_ano.csv. Área após permanência, acumulada desde 2006. AUDITORIA, não produto: nenhum número do artigo ou do app sai daqui."
0.5,250.0,5,2015,25.612,0.4129,False,"Varredura dos três parâmetros livres da regra de pegada minerária (docs/ADR/0011). A linha com adotado=True é a configuração publicada em pegada_por_ano.csv. Área após permanência, acumulada desde 2006. AUDITORIA, não produto: nenhum número do artigo ou do app sai daqui."
0.5,250.0,5,2020,40.29,0.6352,False,"Varredura dos três parâmetros livres da regra de pegada minerária (docs/ADR/0011). A linha com adotado=True é a configuração publicada em pegada_por_ano.csv. Área após permanência, acumulada desde 2006. AUDITORIA, não produto: nenhum número do artigo ou do app sai daqui."
0.5,250.0,5,2025,50.939,0.7462,False,"Varredura dos três parâmetros livres da regra de pegada minerária (docs/ADR/0011). A linha com adotado=True é a configuração publicada em pegada_por_ano.csv. Área após permanência, acumulada desde 2006. AUDITORIA, não produto: nenhum número do artigo ou do app sai daqui."
0.5,500.0,3,2000,0.0,0.0,False,"Varredura dos três parâmetros livres da regra de pegada minerária (docs/ADR/0011). A linha com adotado=True é a configuração publicada em pegada_por_ano.csv. Área após permanência, acumulada desde 2006. AUDITORIA, não produto: nenhum número do artigo ou do app sai daqui."
0.5,500.0,3,2005,0.0,0.0,False,"Varredura dos três parâmetros livres da regra de pegada minerária (docs/ADR/0011). A linha com adotado=True é a configuração publicada em pegada_por_ano.csv. Área após permanência, acumulada desde 2006. AUDITORIA, não produto: nenhum número do artigo ou do app sai daqui."
