unidade_geografica,ano,variavel,valor,unidade_medida,selo,nivel_fonte,fonte,metodo,nota
Mercado mundial,2000,preco_carvao_africa_do_sul,26.6,USD/t (nominal),observado,A,World Bank. Commodity Markets Observatory — CMO Historical Data Annual. 2026-09-11. File: CMO-Historical-Data-Annual.xlsx,"média anual publicada pelo World Bank (CMO), sem transformação",
Mercado mundial,2001,preco_carvao_africa_do_sul,33.9,USD/t (nominal),observado,A,World Bank. Commodity Markets Observatory — CMO Historical Data Annual. 2026-09-11. File: CMO-Historical-Data-Annual.xlsx,"média anual publicada pelo World Bank (CMO), sem transformação",
Mercado mundial,2002,preco_carvao_africa_do_sul,26.0,USD/t (nominal),observado,A,World Bank. Commodity Markets Observatory — CMO Historical Data Annual. 2026-09-11. File: CMO-Historical-Data-Annual.xlsx,"média anual publicada pelo World Bank (CMO), sem transformação",
Mercado mundial,2003,preco_carvao_africa_do_sul,30.2,USD/t (nominal),observado,A,World Bank. Commodity Markets Observatory — CMO Historical Data Annual. 2026-09-11. File: CMO-Historical-Data-Annual.xlsx,"média anual publicada pelo World Bank (CMO), sem transformação",
Mercado mundial,2004,preco_carvao_africa_do_sul,54.7,USD/t (nominal),observado,A,World Bank. Commodity Markets Observatory — CMO Historical Data Annual. 2026-09-11. File: CMO-Historical-Data-Annual.xlsx,"média anual publicada pelo World Bank (CMO), sem transformação",
Mercado mundial,2005,preco_carvao_africa_do_sul,46.2,USD/t (nominal),observado,A,World Bank. Commodity Markets Observatory — CMO Historical Data Annual. 2026-09-11. File: CMO-Historical-Data-Annual.xlsx,"média anual publicada pelo World Bank (CMO), sem transformação",
Mercado mundial,2006,preco_carvao_africa_do_sul,50.7,USD/t (nominal),observado,A,World Bank. Commodity Markets Observatory — CMO Historical Data Annual. 2026-09-11. File: CMO-Historical-Data-Annual.xlsx,"média anual publicada pelo World Bank (CMO), sem transformação",
Mercado mundial,2007,preco_carvao_africa_do_sul,62.7,USD/t (nominal),observado,A,World Bank. Commodity Markets Observatory — CMO Historical Data Annual. 2026-09-11. File: CMO-Historical-Data-Annual.xlsx,"média anual publicada pelo World Bank (CMO), sem transformação",
Mercado mundial,2008,preco_carvao_africa_do_sul,120.6,USD/t (nominal),observado,A,World Bank. Commodity Markets Observatory — CMO Historical Data Annual. 2026-09-11. File: CMO-Historical-Data-Annual.xlsx,"média anual publicada pelo World Bank (CMO), sem transformação",
Mercado mundial,2009,preco_carvao_africa_do_sul,64.7,USD/t (nominal),observado,A,World Bank. Commodity Markets Observatory — CMO Historical Data Annual. 2026-09-11. File: CMO-Historical-Data-Annual.xlsx,"média anual publicada pelo World Bank (CMO), sem transformação",
Mercado mundial,2010,preco_carvao_africa_do_sul,91.6,USD/t (nominal),observado,A,World Bank. Commodity Markets Observatory — CMO Historical Data Annual. 2026-09-11. File: CMO-Historical-Data-Annual.xlsx,"média anual publicada pelo World Bank (CMO), sem transformação",
Mercado mundial,2011,preco_carvao_africa_do_sul,116.3,USD/t (nominal),observado,A,World Bank. Commodity Markets Observatory — CMO Historical Data Annual. 2026-09-11. File: CMO-Historical-Data-Annual.xlsx,"média anual publicada pelo World Bank (CMO), sem transformação",
Mercado mundial,2012,preco_carvao_africa_do_sul,92.9,USD/t (nominal),observado,A,World Bank. Commodity Markets Observatory — CMO Historical Data Annual. 2026-09-11. File: CMO-Historical-Data-Annual.xlsx,"média anual publicada pelo World Bank (CMO), sem transformação",
Mercado mundial,2013,preco_carvao_africa_do_sul,80.2,USD/t (nominal),observado,A,World Bank. Commodity Markets Observatory — CMO Historical Data Annual. 2026-09-11. File: CMO-Historical-Data-Annual.xlsx,"média anual publicada pelo World Bank (CMO), sem transformação",
Mercado mundial,2014,preco_carvao_africa_do_sul,72.3,USD/t (nominal),observado,A,World Bank. Commodity Markets Observatory — CMO Historical Data Annual. 2026-09-11. File: CMO-Historical-Data-Annual.xlsx,"média anual publicada pelo World Bank (CMO), sem transformação",
Mercado mundial,2015,preco_carvao_africa_do_sul,56.7,USD/t (nominal),observado,A,World Bank. Commodity Markets Observatory — CMO Historical Data Annual. 2026-09-11. File: CMO-Historical-Data-Annual.xlsx,"média anual publicada pelo World Bank (CMO), sem transformação",
Mercado mundial,2016,preco_carvao_africa_do_sul,63.9,USD/t (nominal),observado,A,World Bank. Commodity Markets Observatory — CMO Historical Data Annual. 2026-09-11. File: CMO-Historical-Data-Annual.xlsx,"média anual publicada pelo World Bank (CMO), sem transformação",
Mercado mundial,2017,preco_carvao_africa_do_sul,85.1,USD/t (nominal),observado,A,World Bank. Commodity Markets Observatory — CMO Historical Data Annual. 2026-09-11. File: CMO-Historical-Data-Annual.xlsx,"média anual publicada pelo World Bank (CMO), sem transformação",
Mercado mundial,2018,preco_carvao_africa_do_sul,97.6,USD/t (nominal),observado,A,World Bank. Commodity Markets Observatory — CMO Historical Data Annual. 2026-09-11. File: CMO-Historical-Data-Annual.xlsx,"média anual publicada pelo World Bank (CMO), sem transformação",
Mercado mundial,2019,preco_carvao_africa_do_sul,71.9,USD/t (nominal),observado,A,World Bank. Commodity Markets Observatory — CMO Historical Data Annual. 2026-09-11. File: CMO-Historical-Data-Annual.xlsx,"média anual publicada pelo World Bank (CMO), sem transformação",
