classe_codigo,classe,unidade,anel,n_celulas,area_km2
0,fora_de_dominio,fora_da_particao,periurbano_1_3km,23,1.3248
0,fora_de_dominio,fora_da_particao,externo,245,14.112
1,vazio_estavel,tete,periurbano_0_1km,3592,206.8992
1,vazio_estavel,tete,periurbano_1_3km,5000,288.0
1,vazio_estavel,tete,externo,2500,144.0
1,vazio_estavel,moatize_vila,periurbano_0_1km,1221,70.3296
1,vazio_estavel,moatize_vila,periurbano_1_3km,3971,228.7296
1,vazio_estavel,moatize_vila,externo,7463,429.8688
1,vazio_estavel,cateme,periurbano_0_1km,244,14.0544
1,vazio_estavel,cateme,periurbano_1_3km,1080,62.208
1,vazio_estavel,cateme,externo,7385,425.376
1,vazio_estavel,mwaladzi,periurbano_1_3km,47,2.7072
1,vazio_estavel,mwaladzi,externo,8571,493.6896
2,esparso_estavel,tete,intraurbano,214,12.3264
2,esparso_estavel,tete,periurbano_0_1km,327,18.8352
2,esparso_estavel,moatize_vila,intraurbano,74,4.2624
2,esparso_estavel,moatize_vila,periurbano_0_1km,91,5.2416
2,esparso_estavel,cateme,intraurbano,1,0.0576
2,esparso_estavel,cateme,periurbano_0_1km,44,2.5344
2,esparso_estavel,cateme,periurbano_1_3km,8,0.4608
2,esparso_estavel,mwaladzi,externo,8,0.4608
3,adensando,tete,intraurbano,53,3.0528
3,adensando,tete,periurbano_0_1km,145,8.352
3,adensando,moatize_vila,intraurbano,6,0.3456
3,adensando,moatize_vila,periurbano_0_1km,43,2.4768
3,adensando,cateme,periurbano_0_1km,5,0.288
3,adensando,cateme,periurbano_1_3km,6,0.3456
3,adensando,mwaladzi,externo,8,0.4608
4,expansao_nova,tete,periurbano_0_1km,89,5.1264
4,expansao_nova,tete,periurbano_1_3km,8,0.4608
4,expansao_nova,moatize_vila,periurbano_0_1km,47,2.7072
4,expansao_nova,moatize_vila,periurbano_1_3km,6,0.3456
4,expansao_nova,moatize_vila,externo,1,0.0576
4,expansao_nova,cateme,periurbano_0_1km,2,0.1152
4,expansao_nova,cateme,periurbano_1_3km,3,0.1728
4,expansao_nova,mwaladzi,externo,23,1.3248
5,consolidado,tete,intraurbano,277,15.9552
5,consolidado,tete,periurbano_0_1km,3,0.1728
5,consolidado,moatize_vila,intraurbano,58,3.3408
5,consolidado,moatize_vila,periurbano_0_1km,3,0.1728
6,pegada_industrial,tete,periurbano_0_1km,6,0.3456
6,pegada_industrial,tete,periurbano_1_3km,30,1.728
6,pegada_industrial,tete,externo,29,1.6704
6,pegada_industrial,moatize_vila,periurbano_0_1km,95,5.472
6,pegada_industrial,moatize_vila,periurbano_1_3km,337,19.4112
6,pegada_industrial,moatize_vila,externo,292,16.8192
