unidade,cenario,migracao_liquida_pp,horizonte,taxa_anual_pct,populacao,populacao_ajustada_3_7pct,domicilios_central_5_0,domicilios_faixa_4_5_a_5_5,area_construida_km2_via_intensidade,area_construida_km2_via_taxa_wsf,selo,premissa_taxa,premissa_domicilio,premissa_contaminada,circularidade
Cidade de Tete,continuidade,-1.0,2035,4.177,692964,718603,138593,125993-153992,50.7,54.83,modelado,CAGR INE 2017-2025 = 5.177%/ano (MODELADO na ponta de 2025) +0.0 p.p. do cenario -1.0 p.p. de migracao liquida,"tamanho medio do domicilio 4,5-5,5 pessoas: PREMISSA declarada. Nao ha contagem de domicilios em nivel A (ADR 0010); as taxas de acesso a agua/saneamento do Censo 2017 sao nivel C. A demanda e reportada como TOTAL A SERVIR, nunca como deficit.","SIM - area via intensidade de uso: a intensidade (73.2 m2/hab em 2025) vem da serie propria com catraca R2 (ADR 0013). A variante via taxa WSF (2.12 km2/ano, media 2011-2015) tem OUTRO vies (ano de primeira deteccao, e o WSF termina em 2015), nao o mesmo.","a base de 2025 e a projecao do INE; projetar sobre ela reencena a premissa do INE. Declarado, nao corrigido."
Cidade de Tete,continuidade,-1.0,2040,4.177,850295,881756,170059,154599-188954,62.21,65.41,modelado,CAGR INE 2017-2025 = 5.177%/ano (MODELADO na ponta de 2025) +0.0 p.p. do cenario -1.0 p.p. de migracao liquida,"tamanho medio do domicilio 4,5-5,5 pessoas: PREMISSA declarada. Nao ha contagem de domicilios em nivel A (ADR 0010); as taxas de acesso a agua/saneamento do Censo 2017 sao nivel C. A demanda e reportada como TOTAL A SERVIR, nunca como deficit.","SIM - area via intensidade de uso: a intensidade (73.2 m2/hab em 2025) vem da serie propria com catraca R2 (ADR 0013). A variante via taxa WSF (2.12 km2/ano, media 2011-2015) tem OUTRO vies (ano de primeira deteccao, e o WSF termina em 2015), nao o mesmo.","a base de 2025 e a projecao do INE; projetar sobre ela reencena a premissa do INE. Declarado, nao corrigido."
Cidade de Tete,continuidade,0.0,2035,5.177,762430,790639,152486,138624-169429,55.78,54.83,modelado,CAGR INE 2017-2025 = 5.177%/ano (MODELADO na ponta de 2025) +0.0 p.p. do cenario +0.0 p.p. de migracao liquida,"tamanho medio do domicilio 4,5-5,5 pessoas: PREMISSA declarada. Nao ha contagem de domicilios em nivel A (ADR 0010); as taxas de acesso a agua/saneamento do Censo 2017 sao nivel C. A demanda e reportada como TOTAL A SERVIR, nunca como deficit.","SIM - area via intensidade de uso: a intensidade (73.2 m2/hab em 2025) vem da serie propria com catraca R2 (ADR 0013). A variante via taxa WSF (2.12 km2/ano, media 2011-2015) tem OUTRO vies (ano de primeira deteccao, e o WSF termina em 2015), nao o mesmo.","a base de 2025 e a projecao do INE; projetar sobre ela reencena a premissa do INE. Declarado, nao corrigido."
Cidade de Tete,continuidade,0.0,2040,5.177,981304,1017612,196261,178419-218068,71.8,65.41,modelado,CAGR INE 2017-2025 = 5.177%/ano (MODELADO na ponta de 2025) +0.0 p.p. do cenario +0.0 p.p. de migracao liquida,"tamanho medio do domicilio 4,5-5,5 pessoas: PREMISSA declarada. Nao ha contagem de domicilios em nivel A (ADR 0010); as taxas de acesso a agua/saneamento do Censo 2017 sao nivel C. A demanda e reportada como TOTAL A SERVIR, nunca como deficit.","SIM - area via intensidade de uso: a intensidade (73.2 m2/hab em 2025) vem da serie propria com catraca R2 (ADR 0013). A variante via taxa WSF (2.12 km2/ano, media 2011-2015) tem OUTRO vies (ano de primeira deteccao, e o WSF termina em 2015), nao o mesmo.","a base de 2025 e a projecao do INE; projetar sobre ela reencena a premissa do INE. Declarado, nao corrigido."
Cidade de Tete,continuidade,1.0,2035,6.177,838101,869111,167620,152382-186245,61.32,54.83,modelado,CAGR INE 2017-2025 = 5.177%/ano (MODELADO na ponta de 2025) +0.0 p.p. do cenario +1.0 p.p. de migracao liquida,"tamanho medio do domicilio 4,5-5,5 pessoas: PREMISSA declarada. Nao ha contagem de domicilios em nivel A (ADR 0010); as taxas de acesso a agua/saneamento do Censo 2017 sao nivel C. A demanda e reportada como TOTAL A SERVIR, nunca como deficit.","SIM - area via intensidade de uso: a intensidade (73.2 m2/hab em 2025) vem da serie propria com catraca R2 (ADR 0013). A variante via taxa WSF (2.12 km2/ano, media 2011-2015) tem OUTRO vies (ano de primeira deteccao, e o WSF termina em 2015), nao o mesmo.","a base de 2025 e a projecao do INE; projetar sobre ela reencena a premissa do INE. Declarado, nao corrigido."
Cidade de Tete,continuidade,1.0,2040,6.177,1130964,1172809,226193,205630-251325,82.75,65.41,modelado,CAGR INE 2017-2025 = 5.177%/ano (MODELADO na ponta de 2025) +0.0 p.p. do cenario +1.0 p.p. de migracao liquida,"tamanho medio do domicilio 4,5-5,5 pessoas: PREMISSA declarada. Nao ha contagem de domicilios em nivel A (ADR 0010); as taxas de acesso a agua/saneamento do Censo 2017 sao nivel C. A demanda e reportada como TOTAL A SERVIR, nunca como deficit.","SIM - area via intensidade de uso: a intensidade (73.2 m2/hab em 2025) vem da serie propria com catraca R2 (ADR 0013). A variante via taxa WSF (2.12 km2/ano, media 2011-2015) tem OUTRO vies (ano de primeira deteccao, e o WSF termina em 2015), nao o mesmo.","a base de 2025 e a projecao do INE; projetar sobre ela reencena a premissa do INE. Declarado, nao corrigido."
Cidade de Tete,declinio,-1.0,2035,2.677,599409,621588,119882,108984-133202,43.86,54.83,modelado,CAGR INE 2017-2025 = 5.177%/ano (MODELADO na ponta de 2025) -1.5 p.p. do cenario -1.0 p.p. de migracao liquida,"tamanho medio do domicilio 4,5-5,5 pessoas: PREMISSA declarada. Nao ha contagem de domicilios em nivel A (ADR 0010); as taxas de acesso a agua/saneamento do Censo 2017 sao nivel C. A demanda e reportada como TOTAL A SERVIR, nunca como deficit.","SIM - area via intensidade de uso: a intensidade (73.2 m2/hab em 2025) vem da serie propria com catraca R2 (ADR 0013). A variante via taxa WSF (2.12 km2/ano, media 2011-2015) tem OUTRO vies (ano de primeira deteccao, e o WSF termina em 2015), nao o mesmo.","a base de 2025 e a projecao do INE; projetar sobre ela reencena a premissa do INE. Declarado, nao corrigido."
Cidade de Tete,declinio,-1.0,2040,2.677,684053,709363,136811,124373-152012,50.05,65.41,modelado,CAGR INE 2017-2025 = 5.177%/ano (MODELADO na ponta de 2025) -1.5 p.p. do cenario -1.0 p.p. de migracao liquida,"tamanho medio do domicilio 4,5-5,5 pessoas: PREMISSA declarada. Nao ha contagem de domicilios em nivel A (ADR 0010); as taxas de acesso a agua/saneamento do Censo 2017 sao nivel C. A demanda e reportada como TOTAL A SERVIR, nunca como deficit.","SIM - area via intensidade de uso: a intensidade (73.2 m2/hab em 2025) vem da serie propria com catraca R2 (ADR 0013). A variante via taxa WSF (2.12 km2/ano, media 2011-2015) tem OUTRO vies (ano de primeira deteccao, e o WSF termina em 2015), nao o mesmo.","a base de 2025 e a projecao do INE; projetar sobre ela reencena a premissa do INE. Declarado, nao corrigido."
Cidade de Tete,declinio,0.0,2035,3.677,660414,684849,132083,120075-146759,48.32,54.83,modelado,CAGR INE 2017-2025 = 5.177%/ano (MODELADO na ponta de 2025) -1.5 p.p. do cenario +0.0 p.p. de migracao liquida,"tamanho medio do domicilio 4,5-5,5 pessoas: PREMISSA declarada. Nao ha contagem de domicilios em nivel A (ADR 0010); as taxas de acesso a agua/saneamento do Censo 2017 sao nivel C. A demanda e reportada como TOTAL A SERVIR, nunca como deficit.","SIM - area via intensidade de uso: a intensidade (73.2 m2/hab em 2025) vem da serie propria com catraca R2 (ADR 0013). A variante via taxa WSF (2.12 km2/ano, media 2011-2015) tem OUTRO vies (ano de primeira deteccao, e o WSF termina em 2015), nao o mesmo.","a base de 2025 e a projecao do INE; projetar sobre ela reencena a premissa do INE. Declarado, nao corrigido."
Cidade de Tete,declinio,0.0,2040,3.677,791094,820365,158219,143835-175799,57.88,65.41,modelado,CAGR INE 2017-2025 = 5.177%/ano (MODELADO na ponta de 2025) -1.5 p.p. do cenario +0.0 p.p. de migracao liquida,"tamanho medio do domicilio 4,5-5,5 pessoas: PREMISSA declarada. Nao ha contagem de domicilios em nivel A (ADR 0010); as taxas de acesso a agua/saneamento do Censo 2017 sao nivel C. A demanda e reportada como TOTAL A SERVIR, nunca como deficit.","SIM - area via intensidade de uso: a intensidade (73.2 m2/hab em 2025) vem da serie propria com catraca R2 (ADR 0013). A variante via taxa WSF (2.12 km2/ano, media 2011-2015) tem OUTRO vies (ano de primeira deteccao, e o WSF termina em 2015), nao o mesmo.","a base de 2025 e a projecao do INE; projetar sobre ela reencena a premissa do INE. Declarado, nao corrigido."
