unidade,cenario,migracao_liquida_pp,horizonte,area_nova_projetada_km2,raio_do_envelope_m,varzea_total_km2,varzea_dentro_do_envelope_km2,varzea_fora_do_envelope_km2,fracao_varzea_sob_pressao,selo,area_agricola_perdida_km2,domicilios_afetados,motivo_nao_determinavel,leitura_permitida
Cidade de Tete (ADM2 MZ0501 recortado pela AOI),continuidade,-1.0,2035,17.03,90.0,95.78,8.61,87.18,0.09,modelado,NAO DETERMINAVEL,NAO DETERMINAVEL,"REGRA 6.4 DO DESENHO DISPAROU: a acuracia do usuario de cultivo_irrigado e 0,556 +- 0,344, abaixo do limiar de 0,60 fixado antes de ver o dado; cultivo_sequeiro esta reprovado (ADR 0012/0014). Publicar 'nao determinavel' em vez de estimativa pontual com ressalva textual e a regra pre-registrada — a ressalva nao impede o numero de circular, a recusa impede.","ZONA, nao parcela. A varzea FORA do envelope e a area cuja protecao seria compativel com o crescimento projetado deste cenario. Churn de 31-54% na identidade pixel a pixel (ADR 0013) proibe leitura parcelar. O envelope e um anel isotropico de distancia, nao um modelo de localizacao: o logit de §5.6.4 esta bloqueado."
Cidade de Tete (ADM2 MZ0501 recortado pela AOI),continuidade,-1.0,2040,28.54,150.0,95.78,14.0,81.79,0.146,modelado,NAO DETERMINAVEL,NAO DETERMINAVEL,"REGRA 6.4 DO DESENHO DISPAROU: a acuracia do usuario de cultivo_irrigado e 0,556 +- 0,344, abaixo do limiar de 0,60 fixado antes de ver o dado; cultivo_sequeiro esta reprovado (ADR 0012/0014). Publicar 'nao determinavel' em vez de estimativa pontual com ressalva textual e a regra pre-registrada — a ressalva nao impede o numero de circular, a recusa impede.","ZONA, nao parcela. A varzea FORA do envelope e a area cuja protecao seria compativel com o crescimento projetado deste cenario. Churn de 31-54% na identidade pixel a pixel (ADR 0013) proibe leitura parcelar. O envelope e um anel isotropico de distancia, nao um modelo de localizacao: o logit de §5.6.4 esta bloqueado."
Cidade de Tete (ADM2 MZ0501 recortado pela AOI),continuidade,0.0,2035,22.11,120.0,95.78,11.05,84.73,0.115,modelado,NAO DETERMINAVEL,NAO DETERMINAVEL,"REGRA 6.4 DO DESENHO DISPAROU: a acuracia do usuario de cultivo_irrigado e 0,556 +- 0,344, abaixo do limiar de 0,60 fixado antes de ver o dado; cultivo_sequeiro esta reprovado (ADR 0012/0014). Publicar 'nao determinavel' em vez de estimativa pontual com ressalva textual e a regra pre-registrada — a ressalva nao impede o numero de circular, a recusa impede.","ZONA, nao parcela. A varzea FORA do envelope e a area cuja protecao seria compativel com o crescimento projetado deste cenario. Churn de 31-54% na identidade pixel a pixel (ADR 0013) proibe leitura parcelar. O envelope e um anel isotropico de distancia, nao um modelo de localizacao: o logit de §5.6.4 esta bloqueado."
Cidade de Tete (ADM2 MZ0501 recortado pela AOI),continuidade,0.0,2040,38.13,210.0,95.78,18.46,77.32,0.193,modelado,NAO DETERMINAVEL,NAO DETERMINAVEL,"REGRA 6.4 DO DESENHO DISPAROU: a acuracia do usuario de cultivo_irrigado e 0,556 +- 0,344, abaixo do limiar de 0,60 fixado antes de ver o dado; cultivo_sequeiro esta reprovado (ADR 0012/0014). Publicar 'nao determinavel' em vez de estimativa pontual com ressalva textual e a regra pre-registrada — a ressalva nao impede o numero de circular, a recusa impede.","ZONA, nao parcela. A varzea FORA do envelope e a area cuja protecao seria compativel com o crescimento projetado deste cenario. Churn de 31-54% na identidade pixel a pixel (ADR 0013) proibe leitura parcelar. O envelope e um anel isotropico de distancia, nao um modelo de localizacao: o logit de §5.6.4 esta bloqueado."
Cidade de Tete (ADM2 MZ0501 recortado pela AOI),continuidade,1.0,2035,27.65,150.0,95.78,14.0,81.79,0.146,modelado,NAO DETERMINAVEL,NAO DETERMINAVEL,"REGRA 6.4 DO DESENHO DISPAROU: a acuracia do usuario de cultivo_irrigado e 0,556 +- 0,344, abaixo do limiar de 0,60 fixado antes de ver o dado; cultivo_sequeiro esta reprovado (ADR 0012/0014). Publicar 'nao determinavel' em vez de estimativa pontual com ressalva textual e a regra pre-registrada — a ressalva nao impede o numero de circular, a recusa impede.","ZONA, nao parcela. A varzea FORA do envelope e a area cuja protecao seria compativel com o crescimento projetado deste cenario. Churn de 31-54% na identidade pixel a pixel (ADR 0013) proibe leitura parcelar. O envelope e um anel isotropico de distancia, nao um modelo de localizacao: o logit de §5.6.4 esta bloqueado."
Cidade de Tete (ADM2 MZ0501 recortado pela AOI),continuidade,1.0,2040,49.08,270.0,95.78,23.54,72.25,0.246,modelado,NAO DETERMINAVEL,NAO DETERMINAVEL,"REGRA 6.4 DO DESENHO DISPAROU: a acuracia do usuario de cultivo_irrigado e 0,556 +- 0,344, abaixo do limiar de 0,60 fixado antes de ver o dado; cultivo_sequeiro esta reprovado (ADR 0012/0014). Publicar 'nao determinavel' em vez de estimativa pontual com ressalva textual e a regra pre-registrada — a ressalva nao impede o numero de circular, a recusa impede.","ZONA, nao parcela. A varzea FORA do envelope e a area cuja protecao seria compativel com o crescimento projetado deste cenario. Churn de 31-54% na identidade pixel a pixel (ADR 0013) proibe leitura parcelar. O envelope e um anel isotropico de distancia, nao um modelo de localizacao: o logit de §5.6.4 esta bloqueado."
Cidade de Tete (ADM2 MZ0501 recortado pela AOI),declinio,-1.0,2035,10.19,60.0,95.78,5.54,90.24,0.058,modelado,NAO DETERMINAVEL,NAO DETERMINAVEL,"REGRA 6.4 DO DESENHO DISPAROU: a acuracia do usuario de cultivo_irrigado e 0,556 +- 0,344, abaixo do limiar de 0,60 fixado antes de ver o dado; cultivo_sequeiro esta reprovado (ADR 0012/0014). Publicar 'nao determinavel' em vez de estimativa pontual com ressalva textual e a regra pre-registrada — a ressalva nao impede o numero de circular, a recusa impede.","ZONA, nao parcela. A varzea FORA do envelope e a area cuja protecao seria compativel com o crescimento projetado deste cenario. Churn de 31-54% na identidade pixel a pixel (ADR 0013) proibe leitura parcelar. O envelope e um anel isotropico de distancia, nao um modelo de localizacao: o logit de §5.6.4 esta bloqueado."
Cidade de Tete (ADM2 MZ0501 recortado pela AOI),declinio,-1.0,2040,16.38,90.0,95.78,8.61,87.18,0.09,modelado,NAO DETERMINAVEL,NAO DETERMINAVEL,"REGRA 6.4 DO DESENHO DISPAROU: a acuracia do usuario de cultivo_irrigado e 0,556 +- 0,344, abaixo do limiar de 0,60 fixado antes de ver o dado; cultivo_sequeiro esta reprovado (ADR 0012/0014). Publicar 'nao determinavel' em vez de estimativa pontual com ressalva textual e a regra pre-registrada — a ressalva nao impede o numero de circular, a recusa impede.","ZONA, nao parcela. A varzea FORA do envelope e a area cuja protecao seria compativel com o crescimento projetado deste cenario. Churn de 31-54% na identidade pixel a pixel (ADR 0013) proibe leitura parcelar. O envelope e um anel isotropico de distancia, nao um modelo de localizacao: o logit de §5.6.4 esta bloqueado."
Cidade de Tete (ADM2 MZ0501 recortado pela AOI),declinio,0.0,2035,14.65,90.0,95.78,8.61,87.18,0.09,modelado,NAO DETERMINAVEL,NAO DETERMINAVEL,"REGRA 6.4 DO DESENHO DISPAROU: a acuracia do usuario de cultivo_irrigado e 0,556 +- 0,344, abaixo do limiar de 0,60 fixado antes de ver o dado; cultivo_sequeiro esta reprovado (ADR 0012/0014). Publicar 'nao determinavel' em vez de estimativa pontual com ressalva textual e a regra pre-registrada — a ressalva nao impede o numero de circular, a recusa impede.","ZONA, nao parcela. A varzea FORA do envelope e a area cuja protecao seria compativel com o crescimento projetado deste cenario. Churn de 31-54% na identidade pixel a pixel (ADR 0013) proibe leitura parcelar. O envelope e um anel isotropico de distancia, nao um modelo de localizacao: o logit de §5.6.4 esta bloqueado."
Cidade de Tete (ADM2 MZ0501 recortado pela AOI),declinio,0.0,2040,24.21,120.0,95.78,11.05,84.73,0.115,modelado,NAO DETERMINAVEL,NAO DETERMINAVEL,"REGRA 6.4 DO DESENHO DISPAROU: a acuracia do usuario de cultivo_irrigado e 0,556 +- 0,344, abaixo do limiar de 0,60 fixado antes de ver o dado; cultivo_sequeiro esta reprovado (ADR 0012/0014). Publicar 'nao determinavel' em vez de estimativa pontual com ressalva textual e a regra pre-registrada — a ressalva nao impede o numero de circular, a recusa impede.","ZONA, nao parcela. A varzea FORA do envelope e a area cuja protecao seria compativel com o crescimento projetado deste cenario. Churn de 31-54% na identidade pixel a pixel (ADR 0013) proibe leitura parcelar. O envelope e um anel isotropico de distancia, nao um modelo de localizacao: o logit de §5.6.4 esta bloqueado."
Cidade de Tete (ADM2 MZ0501 recortado pela AOI),declinio,1.0,2035,19.52,90.0,95.78,8.61,87.18,0.09,modelado,NAO DETERMINAVEL,NAO DETERMINAVEL,"REGRA 6.4 DO DESENHO DISPAROU: a acuracia do usuario de cultivo_irrigado e 0,556 +- 0,344, abaixo do limiar de 0,60 fixado antes de ver o dado; cultivo_sequeiro esta reprovado (ADR 0012/0014). Publicar 'nao determinavel' em vez de estimativa pontual com ressalva textual e a regra pre-registrada — a ressalva nao impede o numero de circular, a recusa impede.","ZONA, nao parcela. A varzea FORA do envelope e a area cuja protecao seria compativel com o crescimento projetado deste cenario. Churn de 31-54% na identidade pixel a pixel (ADR 0013) proibe leitura parcelar. O envelope e um anel isotropico de distancia, nao um modelo de localizacao: o logit de §5.6.4 esta bloqueado."
Cidade de Tete (ADM2 MZ0501 recortado pela AOI),declinio,1.0,2040,33.17,180.0,95.78,16.27,79.51,0.17,modelado,NAO DETERMINAVEL,NAO DETERMINAVEL,"REGRA 6.4 DO DESENHO DISPAROU: a acuracia do usuario de cultivo_irrigado e 0,556 +- 0,344, abaixo do limiar de 0,60 fixado antes de ver o dado; cultivo_sequeiro esta reprovado (ADR 0012/0014). Publicar 'nao determinavel' em vez de estimativa pontual com ressalva textual e a regra pre-registrada — a ressalva nao impede o numero de circular, a recusa impede.","ZONA, nao parcela. A varzea FORA do envelope e a area cuja protecao seria compativel com o crescimento projetado deste cenario. Churn de 31-54% na identidade pixel a pixel (ADR 0013) proibe leitura parcelar. O envelope e um anel isotropico de distancia, nao um modelo de localizacao: o logit de §5.6.4 esta bloqueado."
Cidade de Tete (ADM2 MZ0501 recortado pela AOI),diversificacao,-1.0,2035,24.82,120.0,95.78,11.05,84.73,0.115,modelado,NAO DETERMINAVEL,NAO DETERMINAVEL,"REGRA 6.4 DO DESENHO DISPAROU: a acuracia do usuario de cultivo_irrigado e 0,556 +- 0,344, abaixo do limiar de 0,60 fixado antes de ver o dado; cultivo_sequeiro esta reprovado (ADR 0012/0014). Publicar 'nao determinavel' em vez de estimativa pontual com ressalva textual e a regra pre-registrada — a ressalva nao impede o numero de circular, a recusa impede.","ZONA, nao parcela. A varzea FORA do envelope e a area cuja protecao seria compativel com o crescimento projetado deste cenario. Churn de 31-54% na identidade pixel a pixel (ADR 0013) proibe leitura parcelar. O envelope e um anel isotropico de distancia, nao um modelo de localizacao: o logit de §5.6.4 esta bloqueado."
Cidade de Tete (ADM2 MZ0501 recortado pela AOI),diversificacao,-1.0,2040,43.42,240.0,95.78,21.0,74.78,0.219,modelado,NAO DETERMINAVEL,NAO DETERMINAVEL,"REGRA 6.4 DO DESENHO DISPAROU: a acuracia do usuario de cultivo_irrigado e 0,556 +- 0,344, abaixo do limiar de 0,60 fixado antes de ver o dado; cultivo_sequeiro esta reprovado (ADR 0012/0014). Publicar 'nao determinavel' em vez de estimativa pontual com ressalva textual e a regra pre-registrada — a ressalva nao impede o numero de circular, a recusa impede.","ZONA, nao parcela. A varzea FORA do envelope e a area cuja protecao seria compativel com o crescimento projetado deste cenario. Churn de 31-54% na identidade pixel a pixel (ADR 0013) proibe leitura parcelar. O envelope e um anel isotropico de distancia, nao um modelo de localizacao: o logit de §5.6.4 esta bloqueado."
Cidade de Tete (ADM2 MZ0501 recortado pela AOI),diversificacao,0.0,2035,30.6,150.0,95.78,14.0,81.79,0.146,modelado,NAO DETERMINAVEL,NAO DETERMINAVEL,"REGRA 6.4 DO DESENHO DISPAROU: a acuracia do usuario de cultivo_irrigado e 0,556 +- 0,344, abaixo do limiar de 0,60 fixado antes de ver o dado; cultivo_sequeiro esta reprovado (ADR 0012/0014). Publicar 'nao determinavel' em vez de estimativa pontual com ressalva textual e a regra pre-registrada — a ressalva nao impede o numero de circular, a recusa impede.","ZONA, nao parcela. A varzea FORA do envelope e a area cuja protecao seria compativel com o crescimento projetado deste cenario. Churn de 31-54% na identidade pixel a pixel (ADR 0013) proibe leitura parcelar. O envelope e um anel isotropico de distancia, nao um modelo de localizacao: o logit de §5.6.4 esta bloqueado."
