ano,unidade,variante_mascara,classe,soma_radiancia_aoi_total,soma_radiancia_piso_por_area,soma_radiancia_teto_por_presenca,share_piso,share_teto,razao_teto_sobre_piso,fracao_area_aoi_da_classe,n_pixels_luz_com_a_classe,n_pixels_luz_total,ano_mascara_usada,distancia_anos_ate_ancora,selo,janela_homogenea_E4,catraca_R2_na_classe,fracao_estoque_urbano_herdada_da_uniao,acuracia_usuario_construido_do_ano_ancora,nota
2000,tete_aoi,mascara_ancora_mais_proxima,industrial,400.007,0.0,0.0,0.0,0.0,,0.0,0,10452,2000,0,observado (luz) / classificado (mascara do proprio ano),False,False,,,"Decomposicao de §2.3, executada sob docs/ADR/0015 decisao 4. NAO e particao unica: piso e teto sao as duas envoltorias de uma reparticao sub-pixel indeterminada (luz ~500 m x camadas 30 m, ~278 pixels de camada por pixel de luz). Publicar SEMPRE os dois. `urbano` herda a catraca R2 (ADR 0013; fracao herdada ate 18,0 % em 2025) e a comissao medida em `construido`: acurácia do usuário de `construido` = 0,286–0,625 (docs/ADR/0009; reexecutado em docs/ADR/0014): entre 37,5 % e 71,4 % do que o mapa chama de construído não é. Essa comissao entra inteira na parcela de luz atribuida a urbano. `industrial` e `reassentamento` nao tem R2 (ADR 0014), mas o limiar de `industrial` foi calibrado contra Maus em 2020. Fora dos seis anos-ancora a mascara e de outro ano: selo `interpolado`. Nenhuma quebra anual pode ser lida nesta tabela."
2000,tete_aoi,mascara_ancora_mais_proxima,urbano,400.007,186.994,359.134,0.46748,0.89782,1.92,0.00554,280,10452,2000,0,observado (luz) / classificado (mascara do proprio ano),False,True,0.0,0.5238,"Decomposicao de §2.3, executada sob docs/ADR/0015 decisao 4. NAO e particao unica: piso e teto sao as duas envoltorias de uma reparticao sub-pixel indeterminada (luz ~500 m x camadas 30 m, ~278 pixels de camada por pixel de luz). Publicar SEMPRE os dois. `urbano` herda a catraca R2 (ADR 0013; fracao herdada ate 18,0 % em 2025) e a comissao medida em `construido`: acurácia do usuário de `construido` = 0,286–0,625 (docs/ADR/0009; reexecutado em docs/ADR/0014): entre 37,5 % e 71,4 % do que o mapa chama de construído não é. Essa comissao entra inteira na parcela de luz atribuida a urbano. `industrial` e `reassentamento` nao tem R2 (ADR 0014), mas o limiar de `industrial` foi calibrado contra Maus em 2020. Fora dos seis anos-ancora a mascara e de outro ano: selo `interpolado`. Nenhuma quebra anual pode ser lida nesta tabela."
2000,tete_aoi,mascara_ancora_mais_proxima,reassentamento,400.007,0.0,0.0,0.0,0.0,,0.0,0,10452,2000,0,observado (luz) / classificado (mascara do proprio ano),False,False,,,"Decomposicao de §2.3, executada sob docs/ADR/0015 decisao 4. NAO e particao unica: piso e teto sao as duas envoltorias de uma reparticao sub-pixel indeterminada (luz ~500 m x camadas 30 m, ~278 pixels de camada por pixel de luz). Publicar SEMPRE os dois. `urbano` herda a catraca R2 (ADR 0013; fracao herdada ate 18,0 % em 2025) e a comissao medida em `construido`: acurácia do usuário de `construido` = 0,286–0,625 (docs/ADR/0009; reexecutado em docs/ADR/0014): entre 37,5 % e 71,4 % do que o mapa chama de construído não é. Essa comissao entra inteira na parcela de luz atribuida a urbano. `industrial` e `reassentamento` nao tem R2 (ADR 0014), mas o limiar de `industrial` foi calibrado contra Maus em 2020. Fora dos seis anos-ancora a mascara e de outro ano: selo `interpolado`. Nenhuma quebra anual pode ser lida nesta tabela."
2000,tete_aoi,mascara_ancora_mais_proxima,resto,400.007,213.013,40.873,0.53252,0.10218,0.19,0.99446,10172,10452,2000,0,observado (luz) / classificado (mascara do proprio ano),False,False,,,"Decomposicao de §2.3, executada sob docs/ADR/0015 decisao 4. NAO e particao unica: piso e teto sao as duas envoltorias de uma reparticao sub-pixel indeterminada (luz ~500 m x camadas 30 m, ~278 pixels de camada por pixel de luz). Publicar SEMPRE os dois. `urbano` herda a catraca R2 (ADR 0013; fracao herdada ate 18,0 % em 2025) e a comissao medida em `construido`: acurácia do usuário de `construido` = 0,286–0,625 (docs/ADR/0009; reexecutado em docs/ADR/0014): entre 37,5 % e 71,4 % do que o mapa chama de construído não é. Essa comissao entra inteira na parcela de luz atribuida a urbano. `industrial` e `reassentamento` nao tem R2 (ADR 0014), mas o limiar de `industrial` foi calibrado contra Maus em 2020. Fora dos seis anos-ancora a mascara e de outro ano: selo `interpolado`. Nenhuma quebra anual pode ser lida nesta tabela."
2000,tete_aoi,mascara_fixa_2020,industrial,400.007,6.293,20.198,0.01573,0.05049,3.21,0.01664,435,10452,2020,20,"interpolado (mascara de outro ano-ancora, nao do ano)",False,False,,,"Decomposicao de §2.3, executada sob docs/ADR/0015 decisao 4. NAO e particao unica: piso e teto sao as duas envoltorias de uma reparticao sub-pixel indeterminada (luz ~500 m x camadas 30 m, ~278 pixels de camada por pixel de luz). Publicar SEMPRE os dois. `urbano` herda a catraca R2 (ADR 0013; fracao herdada ate 18,0 % em 2025) e a comissao medida em `construido`: acurácia do usuário de `construido` = 0,286–0,625 (docs/ADR/0009; reexecutado em docs/ADR/0014): entre 37,5 % e 71,4 % do que o mapa chama de construído não é. Essa comissao entra inteira na parcela de luz atribuida a urbano. `industrial` e `reassentamento` nao tem R2 (ADR 0014), mas o limiar de `industrial` foi calibrado contra Maus em 2020. Fora dos seis anos-ancora a mascara e de outro ano: selo `interpolado`. Nenhuma quebra anual pode ser lida nesta tabela."
2000,tete_aoi,mascara_fixa_2020,urbano,400.007,241.063,350.79,0.60265,0.87696,1.46,0.01582,528,10452,2020,20,"interpolado (mascara de outro ano-ancora, nao do ano)",False,True,0.127,0.4762,"Decomposicao de §2.3, executada sob docs/ADR/0015 decisao 4. NAO e particao unica: piso e teto sao as duas envoltorias de uma reparticao sub-pixel indeterminada (luz ~500 m x camadas 30 m, ~278 pixels de camada por pixel de luz). Publicar SEMPRE os dois. `urbano` herda a catraca R2 (ADR 0013; fracao herdada ate 18,0 % em 2025) e a comissao medida em `construido`: acurácia do usuário de `construido` = 0,286–0,625 (docs/ADR/0009; reexecutado em docs/ADR/0014): entre 37,5 % e 71,4 % do que o mapa chama de construído não é. Essa comissao entra inteira na parcela de luz atribuida a urbano. `industrial` e `reassentamento` nao tem R2 (ADR 0014), mas o limiar de `industrial` foi calibrado contra Maus em 2020. Fora dos seis anos-ancora a mascara e de outro ano: selo `interpolado`. Nenhuma quebra anual pode ser lida nesta tabela."
2000,tete_aoi,mascara_fixa_2020,reassentamento,400.007,0.0,0.0,0.0,0.0,,0.00028,28,10452,2020,20,"interpolado (mascara de outro ano-ancora, nao do ano)",False,False,,,"Decomposicao de §2.3, executada sob docs/ADR/0015 decisao 4. NAO e particao unica: piso e teto sao as duas envoltorias de uma reparticao sub-pixel indeterminada (luz ~500 m x camadas 30 m, ~278 pixels de camada por pixel de luz). Publicar SEMPRE os dois. `urbano` herda a catraca R2 (ADR 0013; fracao herdada ate 18,0 % em 2025) e a comissao medida em `construido`: acurácia do usuário de `construido` = 0,286–0,625 (docs/ADR/0009; reexecutado em docs/ADR/0014): entre 37,5 % e 71,4 % do que o mapa chama de construído não é. Essa comissao entra inteira na parcela de luz atribuida a urbano. `industrial` e `reassentamento` nao tem R2 (ADR 0014), mas o limiar de `industrial` foi calibrado contra Maus em 2020. Fora dos seis anos-ancora a mascara e de outro ano: selo `interpolado`. Nenhuma quebra anual pode ser lida nesta tabela."
2000,tete_aoi,mascara_fixa_2020,resto,400.007,152.652,29.02,0.38162,0.07255,0.19,0.96726,9461,10452,2020,20,"interpolado (mascara de outro ano-ancora, nao do ano)",False,False,,,"Decomposicao de §2.3, executada sob docs/ADR/0015 decisao 4. NAO e particao unica: piso e teto sao as duas envoltorias de uma reparticao sub-pixel indeterminada (luz ~500 m x camadas 30 m, ~278 pixels de camada por pixel de luz). Publicar SEMPRE os dois. `urbano` herda a catraca R2 (ADR 0013; fracao herdada ate 18,0 % em 2025) e a comissao medida em `construido`: acurácia do usuário de `construido` = 0,286–0,625 (docs/ADR/0009; reexecutado em docs/ADR/0014): entre 37,5 % e 71,4 % do que o mapa chama de construído não é. Essa comissao entra inteira na parcela de luz atribuida a urbano. `industrial` e `reassentamento` nao tem R2 (ADR 0014), mas o limiar de `industrial` foi calibrado contra Maus em 2020. Fora dos seis anos-ancora a mascara e de outro ano: selo `interpolado`. Nenhuma quebra anual pode ser lida nesta tabela."
2005,tete_aoi,mascara_ancora_mais_proxima,industrial,410.59,0.0,0.0,0.0,0.0,,0.0,0,10452,2005,0,observado (luz) / classificado (mascara do proprio ano),False,False,,,"Decomposicao de §2.3, executada sob docs/ADR/0015 decisao 4. NAO e particao unica: piso e teto sao as duas envoltorias de uma reparticao sub-pixel indeterminada (luz ~500 m x camadas 30 m, ~278 pixels de camada por pixel de luz). Publicar SEMPRE os dois. `urbano` herda a catraca R2 (ADR 0013; fracao herdada ate 18,0 % em 2025) e a comissao medida em `construido`: acurácia do usuário de `construido` = 0,286–0,625 (docs/ADR/0009; reexecutado em docs/ADR/0014): entre 37,5 % e 71,4 % do que o mapa chama de construído não é. Essa comissao entra inteira na parcela de luz atribuida a urbano. `industrial` e `reassentamento` nao tem R2 (ADR 0014), mas o limiar de `industrial` foi calibrado contra Maus em 2020. Fora dos seis anos-ancora a mascara e de outro ano: selo `interpolado`. Nenhuma quebra anual pode ser lida nesta tabela."
2005,tete_aoi,mascara_ancora_mais_proxima,urbano,410.59,144.096,314.669,0.35095,0.76638,2.18,0.00821,393,10452,2005,0,observado (luz) / classificado (mascara do proprio ano),False,True,0.0,0.6087,"Decomposicao de §2.3, executada sob docs/ADR/0015 decisao 4. NAO e particao unica: piso e teto sao as duas envoltorias de uma reparticao sub-pixel indeterminada (luz ~500 m x camadas 30 m, ~278 pixels de camada por pixel de luz). Publicar SEMPRE os dois. `urbano` herda a catraca R2 (ADR 0013; fracao herdada ate 18,0 % em 2025) e a comissao medida em `construido`: acurácia do usuário de `construido` = 0,286–0,625 (docs/ADR/0009; reexecutado em docs/ADR/0014): entre 37,5 % e 71,4 % do que o mapa chama de construído não é. Essa comissao entra inteira na parcela de luz atribuida a urbano. `industrial` e `reassentamento` nao tem R2 (ADR 0014), mas o limiar de `industrial` foi calibrado contra Maus em 2020. Fora dos seis anos-ancora a mascara e de outro ano: selo `interpolado`. Nenhuma quebra anual pode ser lida nesta tabela."
