selo,rotulo,t0,T,n_pre,n_pos,hac_lag,escala,c_deslocamento,estimavel,b0,b1_tendencia_pre,b2_nivel,b2_ic95_inf,b2_ic95_sup,b2_p,b3_inclinacao,b3_ic95_inf,b3_ic95_sup,b3_p,r2,durbin_watson,breusch_godfrey_p_ordem1,breusch_godfrey_p_ordem2,adf_resid_p,b2_nivel_ar1,b3_inclinacao_ar1,troca_sinal_hac_ar1,serie,unidade,variante,dispersao_pearson,ressalva,motivo_nao_estimavel
observado (desfecho) / estimado (coeficiente),S_WSF_taxa|tete_aoi|2005,2005,23.0,12.0,11.0,2.0,log,0.0009,True,-0.02524997570430018,0.07908428128012746,-0.4023850355079365,-1.237427700517887,0.43265762950201414,0.34493721318796755,0.06360541750420137,-0.03122472193314363,0.15843555694154637,0.18864214961100878,0.4649501282334322,2.2502279001722676,0.4505419930970578,0.7375115618129362,0.030137255251330673,-0.49064750537463786,0.04145048855800394,False,S_WSF_taxa,tete_aoi,principal_log_HAC,,,
observado (desfecho) / estimado (coeficiente),S_WSF_taxa|tete_aoi|2005,2005,20.0,11.0,9.0,2.0,log,0.0009,True,-0.05943826386301397,0.075139478800276,-0.5376019651268376,-2.39601516789779,1.3208112376441148,0.5707287306011732,0.08954387103776618,-0.062416596615235465,0.24150433869076782,0.24812162810016536,0.48405893086823515,2.113003401845725,0.6732549622942761,0.8843614187877429,0.04005574353739003,-0.5591542477531263,0.05815124960997816,False,S_WSF_taxa,tete_aoi,donut_+-1ano,,,
observado (desfecho) / estimado (coeficiente),S_WSF_taxa|tete_aoi|2005,2005,,,,,,,True,,,-0.18657548319653572,,,,0.002472150658751596,,,,,,,,,,,,S_WSF_taxa,tete_aoi,quasi_poisson,299.2683188022393,,
observado (desfecho) / estimado (coeficiente),S_WSF_taxa|tete_aoi|2011,2011,20.0,15.0,5.0,2.0,log,0.0009,True,0.31594114028594106,0.07578664011128895,0.6129174140384048,-0.008396306114425989,1.2342311341912358,0.05317741040402148,-0.18299478316865192,-0.3126159959187632,-0.0533735704185406,0.0056573029846670765,0.4182009601309108,2.2509716945162905,0.4664442803066847,0.7659766087440423,0.04693019129725796,0.5272288362318784,-0.20838880019770697,False,S_WSF_taxa,tete_aoi,principal_log_HAC,,,
observado (desfecho) / estimado (coeficiente),S_WSF_taxa|tete_aoi|2011,2011,17.0,14.0,3.0,2.0,log,0.0009,True,0.15701567060039573,0.060887377328269036,0.004582427749597162,-0.910231739599027,0.9193965950982214,0.9921667151365161,0.0712639700334887,-0.061076122190371784,0.20360406225734917,0.2912317788276838,0.2904563767972064,2.433530859025588,0.2856321810285797,0.5651729562300885,0.07383342399815854,0.28154764064778437,-0.03187405757379139,True,S_WSF_taxa,tete_aoi,donut_+-1ano,,,
observado (desfecho) / estimado (coeficiente),S_WSF_taxa|tete_aoi|2011,2011,,,,,,,True,,,0.4191109212595172,,,,-0.20223787756159134,,,,,,,,,,,,S_WSF_taxa,tete_aoi,quasi_poisson,275.98568297782464,,
observado (desfecho) / estimado (coeficiente),S_HARM_soma|tete_aoi|2016,2016,13.0,3.0,10.0,2.0,log,0.0,True,8.863858750806784,0.16944086788938345,-0.1516229957191031,-0.21477589519664284,-0.08847009624156335,2.530550278050551e-06,-0.12330393002246015,-0.14494128969415548,-0.10166657035076482,5.772027657829604e-29,0.9537350705149019,1.5611345759707558,0.4396673972805726,0.3453287010203764,0.10090681252094047,-0.09550271001655464,0.0853972657541,True,S_HARM_soma,tete_aoi,principal_log_HAC,,"EMENDA E4: pre-janela de 3 pontos (2013-2015). b1 e aritmetica de tres observacoes, nao tendencia. Quebra lida so como NIVEL.",
observado (desfecho) / estimado (coeficiente),S_HARM_soma|tete_aoi|2016,2016,10.0,2.0,8.0,2.0,log,0.0,False,,,,,,,,,,,,,,,,,,,S_HARM_soma,tete_aoi,donut_+-1ano,,,"pre=2, pos=8: modelo segmentado de 4 parametros exige >=3 de cada lado"
observado (desfecho) / estimado (coeficiente),S_HARM_soma|tete_aoi|2022,2022,13.0,9.0,4.0,2.0,log,0.0,True,9.096155786490087,0.0718085683268175,-0.1814076398139337,-0.25857469403485556,-0.10424058559301186,4.074062218667793e-06,0.008265049933819602,-0.015854607625916565,0.032384707493555764,0.5018268097365057,0.9442199011791257,1.7017869326574593,0.942761887591882,0.12457378779248934,0.001958186843172926,-0.13938147096432818,0.02040275320273377,False,S_HARM_soma,tete_aoi,principal_log_HAC,,"EMENDA E5: quebra de produto nao descartada, com evidencia direcional contra ela (soma sobe 2023-2025 enquanto o maximo cai). Inclinacao pos com 4 pontos: nao estimavel como tendencia.",
observado (desfecho) / estimado (coeficiente),S_HARM_soma|tete_aoi|2022,2022,10.0,8.0,2.0,2.0,log,0.0,False,,,,,,,,,,,,,,,,,,,S_HARM_soma,tete_aoi,donut_+-1ano,,,"pre=8, pos=2: modelo segmentado de 4 parametros exige >=3 de cada lado"
