rotulo,t0,T,n_pre,n_pos,hac_lag,escala,c_deslocamento,estimavel,b0,b1_tendencia_pre,b2_nivel,b2_ic95_inf,b2_ic95_sup,b2_p,b3_inclinacao,b3_ic95_inf,b3_ic95_sup,b3_p,r2,durbin_watson,breusch_godfrey_p_ordem1,breusch_godfrey_p_ordem2,adf_resid_p,b2_nivel_ar1,b3_inclinacao_ar1,troca_sinal_hac_ar1,placebo,serie,unidade,quebra,b2_real_tete,b3_real_tete,b2_real_ic95_inf,b2_real_ic95_sup,b3_real_ic95_inf,b3_real_ic95_sup,real_estimavel,ano_falso,motivo_nao_estimavel,ressalva,veredito_pre_adr0015,veredito,ramo_b2_estado,ramo_b3_estado,mudanca_apos_adr0015,n_controles_que_replicam,n_controles,n_controles_que_replicam_pre_adr0015,regra,correlacao_capacidade_desfecho,mediana_nobs_por_ano,limiar_pre_registrado,o_que_a_falha_invalida,valores_por_ano_pct,sinais_ndvi,sinais_desfecho_S_SUST,n_sinais_coincidentes_de_5
P1|S_WSF_taxa|chimoio|2005,2005.0,23.0,12.0,11.0,2.0,log,0.0009,True,0.023050290852887068,0.11668332681928528,-0.08663599823295232,-0.7952180572115026,0.621946060745598,0.8106106309356769,-0.08184349552402387,-0.17123122841237864,0.007544237364330908,0.07272623265091915,0.5076986036158166,2.38131742799715,0.21199398649868695,0.19837917010832432,0.00010336138131045824,-0.10312611726636275,-0.0988455725319104,False,P1_espacial,S_WSF_taxa,chimoio,2005,-0.4023850355079365,0.0636054175042013,-1.237427700517887,0.4326576295020141,-0.0312247219331436,0.1584355569415463,True,,ambos os ramos vazios (ADR 0015). b2: vazio: IC95 do b2 de referencia de Tete [-1.2374; 0.4327] inclui zero — o teste relativo '>= 50% da magnitude' tem denominador que colapsa | b3: vazio: IC95 do b3 de referencia de Tete [-0.0312; 0.1584] inclui zero — o teste relativo '>= 50% da magnitude' tem denominador que colapsa,,nao replica,nao estimavel,vazio: IC95 do b2 de referencia de Tete [-1.2374; 0.4327] inclui zero — o teste relativo '>= 50% da magnitude' tem denominador que colapsa,vazio: IC95 do b3 de referencia de Tete [-0.0312; 0.1584] inclui zero — o teste relativo '>= 50% da magnitude' tem denominador que colapsa,"nao replica -> nao estimavel (ramo vazio, ADR 0015)",,,,,,,,,,,,
P1|S_WSF_taxa|quelimane|2005,2005.0,23.0,12.0,11.0,2.0,log,0.0009,True,-0.664803907463986,0.09693058991533583,0.46274645743560794,0.01082237399586966,0.9146705408753462,0.04476032423616473,-0.2222265668532158,-0.32759089903177563,-0.11686223467465595,3.567993987682009e-05,0.466423104611676,2.0252302295432347,0.4200829260548119,0.39971209150976045,0.0036693723665732728,0.2525219011853323,-0.27330435093467575,False,P1_espacial,S_WSF_taxa,quelimane,2005,-0.4023850355079365,0.0636054175042013,-1.237427700517887,0.4326576295020141,-0.0312247219331436,0.1584355569415463,True,,ambos os ramos vazios (ADR 0015). b2: vazio: IC95 do b2 de referencia de Tete [-1.2374; 0.4327] inclui zero — o teste relativo '>= 50% da magnitude' tem denominador que colapsa | b3: vazio: IC95 do b3 de referencia de Tete [-0.0312; 0.1584] inclui zero — o teste relativo '>= 50% da magnitude' tem denominador que colapsa,,nao replica,nao estimavel,vazio: IC95 do b2 de referencia de Tete [-1.2374; 0.4327] inclui zero — o teste relativo '>= 50% da magnitude' tem denominador que colapsa,vazio: IC95 do b3 de referencia de Tete [-0.0312; 0.1584] inclui zero — o teste relativo '>= 50% da magnitude' tem denominador que colapsa,"nao replica -> nao estimavel (ramo vazio, ADR 0015)",,,,,,,,,,,,
P1|S_WSF_taxa|lichinga|2005,2005.0,23.0,12.0,11.0,2.0,log,0.0009,True,-1.144628382959057,0.038728179362271284,1.0214521506153333,0.5488984189528925,1.4940058822777742,2.2695491810148954e-05,-0.16136630109822703,-0.2636363135482235,-0.05909628864823059,0.0019846433958916826,0.4082015096806353,2.5301198820247923,0.15371198541497288,0.35161361962190046,0.014575514173491651,1.0415175742065057,-0.16132247988643283,False,P1_espacial,S_WSF_taxa,lichinga,2005,-0.4023850355079365,0.0636054175042013,-1.237427700517887,0.4326576295020141,-0.0312247219331436,0.1584355569415463,True,,ambos os ramos vazios (ADR 0015). b2: vazio: IC95 do b2 de referencia de Tete [-1.2374; 0.4327] inclui zero — o teste relativo '>= 50% da magnitude' tem denominador que colapsa | b3: vazio: IC95 do b3 de referencia de Tete [-0.0312; 0.1584] inclui zero — o teste relativo '>= 50% da magnitude' tem denominador que colapsa,,nao replica,nao estimavel,vazio: IC95 do b2 de referencia de Tete [-1.2374; 0.4327] inclui zero — o teste relativo '>= 50% da magnitude' tem denominador que colapsa,vazio: IC95 do b3 de referencia de Tete [-0.0312; 0.1584] inclui zero — o teste relativo '>= 50% da magnitude' tem denominador que colapsa,"nao replica -> nao estimavel (ramo vazio, ADR 0015)",,,,,,,,,,,,
P1|S_WSF_taxa|xaixai|2005,2005.0,23.0,12.0,11.0,2.0,log,0.0009,True,-0.06819441010035296,-0.03694215480160946,0.4948079050897848,-0.757009984757225,1.7466257949367945,0.43850639675841807,-0.14551893603362195,-0.3448020507336268,0.05376417866638286,0.152375951689324,0.3423978896209914,1.2779470781766635,0.4349931350248627,0.4989312854415795,0.2218706139137267,1.032355854015941,-0.002045098234802367,False,P1_espacial,S_WSF_taxa,xaixai,2005,-0.4023850355079365,0.0636054175042013,-1.237427700517887,0.4326576295020141,-0.0312247219331436,0.1584355569415463,True,,ambos os ramos vazios (ADR 0015). b2: vazio: IC95 do b2 de referencia de Tete [-1.2374; 0.4327] inclui zero — o teste relativo '>= 50% da magnitude' tem denominador que colapsa | b3: vazio: IC95 do b3 de referencia de Tete [-0.0312; 0.1584] inclui zero — o teste relativo '>= 50% da magnitude' tem denominador que colapsa,,nao replica,nao estimavel,vazio: IC95 do b2 de referencia de Tete [-1.2374; 0.4327] inclui zero — o teste relativo '>= 50% da magnitude' tem denominador que colapsa,vazio: IC95 do b3 de referencia de Tete [-0.0312; 0.1584] inclui zero — o teste relativo '>= 50% da magnitude' tem denominador que colapsa,"nao replica -> nao estimavel (ramo vazio, ADR 0015)",,,,,,,,,,,,
P1|S_WSF_taxa|inhambane|2005,2005.0,23.0,12.0,11.0,2.0,log,0.0009,True,0.7530997573115243,0.03793146655307506,-0.3064231031382346,-0.8121174240641741,0.19927121778770485,0.23497882356587052,-0.004322782113594725,-0.0817914249074843,0.07314586068029484,0.9129115686618979,0.10739788385576976,2.216799949093565,0.5697507137715208,0.010315642085148527,4.070733564994637e-08,-0.23873086447700612,0.0022855638352982724,True,P1_espacial,S_WSF_taxa,inhambane,2005,-0.4023850355079365,0.0636054175042013,-1.237427700517887,0.4326576295020141,-0.0312247219331436,0.1584355569415463,True,,ambos os ramos vazios (ADR 0015). b2: vazio: IC95 do b2 de referencia de Tete [-1.2374; 0.4327] inclui zero — o teste relativo '>= 50% da magnitude' tem denominador que colapsa | b3: vazio: IC95 do b3 de referencia de Tete [-0.0312; 0.1584] inclui zero — o teste relativo '>= 50% da magnitude' tem denominador que colapsa,,replica,nao estimavel,vazio: IC95 do b2 de referencia de Tete [-1.2374; 0.4327] inclui zero — o teste relativo '>= 50% da magnitude' tem denominador que colapsa,vazio: IC95 do b3 de referencia de Tete [-0.0312; 0.1584] inclui zero — o teste relativo '>= 50% da magnitude' tem denominador que colapsa,"replica -> nao estimavel (ramo vazio, ADR 0015)",,,,,,,,,,,,
P1|S_WSF_taxa|chimoio|2011,2011.0,20.0,15.0,5.0,2.0,log,0.0009,True,0.393385028899779,0.08941898683611163,0.09590214472002528,-0.31341301828432444,0.505217307724375,0.6460778728826453,-0.2216375970960367,-0.38674004641527365,-0.05653514777679974,0.008510799775197505,0.4509407870698403,2.7126738960646777,0.065365986894627,0.044558962171286146,2.0529684885849543e-06,-0.05465706406852186,-0.13972837966801904,True,P1_espacial,S_WSF_taxa,chimoio,2011,0.6129174140384048,-0.1829947831686519,-0.0083963061144259,1.2342311341912358,-0.3126159959187632,-0.0533735704185406,True,,,,replica,replica,vazio: IC95 do b2 de referencia de Tete [-0.0084; 1.2342] inclui zero — o teste relativo '>= 50% da magnitude' tem denominador que colapsa,aplicavel,inalterado,,,,,,,,,,,,
P1|S_WSF_taxa|quelimane|2011,2011.0,20.0,15.0,5.0,2.0,log,0.0009,True,-0.05591809517228503,0.09681883599530061,-1.886552674343097,-2.2668493370023115,-1.5062560116838823,2.4089234917138305e-22,0.1796399295209164,0.08409326247677272,0.27518659656506006,0.00022871839196721418,0.7168936608257055,2.058525620033199,0.8774450255430745,0.5800011502030473,0.20003938371576574,-1.8549353629759748,0.18152190606582186,False,P1_espacial,S_WSF_taxa,quelimane,2011,0.6129174140384048,-0.1829947831686519,-0.0083963061144259,1.2342311341912358,-0.3126159959187632,-0.0533735704185406,True,,,,nao replica,nao replica,vazio: IC95 do b2 de referencia de Tete [-0.0084; 1.2342] inclui zero — o teste relativo '>= 50% da magnitude' tem denominador que colapsa,aplicavel,inalterado,,,,,,,,,,,,
P1|S_WSF_taxa|lichinga|2011,2011.0,20.0,15.0,5.0,2.0,log,0.0009,True,-0.5712045710403846,0.0548143226187484,0.7664255754799126,0.019732647336818232,1.513118503623007,0.04424530456549705,-0.6043693059098322,-0.6878868228659465,-0.5208517889537179,1.1648561820551763e-45,0.43216298267919007,2.1044389890575155,0.6894787335709275,0.8972270630632994,0.041615517831289216,0.5704771984195927,-0.6012839248335263,False,P1_espacial,S_WSF_taxa,lichinga,2011,0.6129174140384048,-0.1829947831686519,-0.0083963061144259,1.2342311341912358,-0.3126159959187632,-0.0533735704185406,True,,,,replica,replica,vazio: IC95 do b2 de referencia de Tete [-0.0084; 1.2342] inclui zero — o teste relativo '>= 50% da magnitude' tem denominador que colapsa,aplicavel,inalterado,,,,,,,,,,,,
P1|S_WSF_taxa|xaixai|2011,2011.0,20.0,15.0,5.0,2.0,log,0.0009,True,-0.6647099251810902,-0.10528898788603269,0.1660661671140743,-0.4236528639238789,0.7557851981520275,0.5809962184255015,-0.14820017413222178,-0.29085535615408964,-0.005544992110353919,0.04173553807871336,0.6019299514160363,1.4145285483858523,0.18759493387456982,0.4195252961983186,0.1678084458717361,0.21052504718199994,-0.1682334504416888,False,P1_espacial,S_WSF_taxa,xaixai,2011,0.6129174140384048,-0.1829947831686519,-0.0083963061144259,1.2342311341912358,-0.3126159959187632,-0.0533735704185406,True,,,,replica,replica,vazio: IC95 do b2 de referencia de Tete [-0.0084; 1.2342] inclui zero — o teste relativo '>= 50% da magnitude' tem denominador que colapsa,aplicavel,inalterado,,,,,,,,,,,,
P1|S_WSF_taxa|inhambane|2011,2011.0,20.0,15.0,5.0,2.0,log,0.0009,True,0.5489013581141968,0.005902826309443755,0.42262690960276494,-0.05696699244681541,0.9022208116523454,0.08413963700647155,-0.09154377368281193,-0.2072388811893091,0.02415133382368527,0.12094438537188196,0.12256078045903307,2.131286040193932,0.6745136031672858,0.03394823784401643,8.757857371411691e-07,0.4536294738481308,-0.07484052908830077,False,P1_espacial,S_WSF_taxa,inhambane,2011,0.6129174140384048,-0.1829947831686519,-0.0083963061144259,1.2342311341912358,-0.3126159959187632,-0.0533735704185406,True,,,,replica,nao replica,vazio: IC95 do b2 de referencia de Tete [-0.0084; 1.2342] inclui zero — o teste relativo '>= 50% da magnitude' tem denominador que colapsa,aplicavel,replica -> nao replica AFROUXAMENTO. NAO reabilita nada: o ramo que disparava usava um coeficiente de referencia de Tete cujo IC95 inclui zero. O veredito pre-ADR 0015 fica na coluna ao lado e continua publicavel.,,,,,,,,,,,,
