ano,aplicavel,corte_fracao_ghsl,principal,area_pipeline_km2,area_ghsl_km2,razao_areas,jaccard,recall_sobre_ghsl,motivo
2000,True,0.1,False,14.0436,39.0546,0.3595888832557496,0.32827520994213927,0.3360141955109001,
2000,True,0.25,True,14.0436,20.4327,0.6873100471303352,0.4643348623853211,0.5350394221028058,
2000,True,0.5,False,14.0436,0.1134,123.84126984126983,0.00794566192490068,0.9841269841269841,
2005,True,0.1,False,20.7324,46.7406,0.4435629837871144,0.3875624652970572,0.4032040667000424,
2005,True,0.25,True,20.7324,22.0446,0.9404752184208377,0.4940902803973343,0.6417081734302278,
2005,True,0.5,False,20.7324,0.117,177.2,0.005599687459304597,0.9923076923076923,
2010,True,0.1,False,29.5587,56.8251,0.5201697841270847,0.44093317920463587,0.4651799996832386,
2010,True,0.25,True,29.5587,26.1783,1.1291298518238388,0.536190901423823,0.74314986076254,
2010,True,0.5,False,29.5587,0.1224,241.49264705882356,0.004140912827695399,1.0,
2015,True,0.1,False,38.7576,63.6183,0.6092209317130448,0.5262854229282954,0.5548827931585723,
2015,True,0.25,True,38.7576,34.8867,1.110956324329902,0.5852415823937386,0.7793256455898666,
2015,True,0.5,False,38.7576,0.1386,279.6363636363636,0.003529466400408675,0.987012987012987,
2020,True,0.1,False,41.3784,69.6645,0.5939667980104644,0.5231470050861686,0.5474710935986048,
2020,True,0.25,True,41.3784,36.4041,1.136641202501916,0.6027483634070805,0.8035303715790254,
2020,True,0.5,False,41.3784,0.1386,298.54545454545456,0.003327750831937708,0.9935064935064936,
2025,False,,,,,,,,GHSL R2023A só tem épocas observadas até 2020; 2025/2030 são extrapoladas por modelo e não servem de referência para uma classificação observada.
