familia,unidade_geografica,ano,variavel,valor,unidade_medida,selo,nivel_fonte,fonte,metodo,nota,comparabilidade
demografia,Cidade de Tete,2007,cagr_1997_2007,4.333,%/ano,observado,C,"UNSD Demographic Yearbook 2007, Tabela 8 (city proper) — via agregador citypopulation.de/Wikipedia originalmente ; data/raw/censo2007-tete-quadro3-populacao-por-idade-distrito-2007.html (INE, via Wayback)",CAGR geométrico: (pop_2007/pop_1997)^(1/10)-1,"CAGR geométrico entre 1997 (observado, nível B) e 2007 (observado, nível C): (pop_2007/pop_1997)^(1/10)-1. nivel_fonte desta linha é o pior das duas pontas (A<B<C<ausente).",ok
demografia,Cidade de Tete,2017,cagr_2007_2017,7.025,%/ano,observado,C,"data/raw/censo2007-tete-quadro3-populacao-por-idade-distrito-2007.html (INE, via Wayback) ; HDX COD-PS (UNFPA/OCHA), vintage 2017, alinhado ao IV RGPH — data/raw/hdx_cod-ps-moz_admpop_adm2_2017_v2.csv",CAGR geométrico: (pop_2017/pop_2007)^(1/10)-1,"CAGR geométrico entre 2007 (observado, nível C) e 2017 (observado, nível A): (pop_2017/pop_2007)^(1/10)-1. nivel_fonte desta linha é o pior das duas pontas (A<B<C<ausente).",ok
demografia,Cidade de Tete,2025,cagr_2017_2025,5.177,%/ano,modelado,A,"HDX COD-PS (UNFPA/OCHA), vintage 2017, alinhado ao IV RGPH — data/raw/hdx_cod-ps-moz_admpop_adm2_2017_v2.csv ; HDX COD-PS (UNFPA/OCHA), vintage 2025, projeção do INE — data/raw/hdx_cod-ps-moz_admpop_adm2_2025.csv",CAGR geométrico: (pop_2025/pop_2017)^(1/8)-1,"CAGR geométrico entre 2017 (observado, nível A) e 2025 (modelado, nível A): (pop_2025/pop_2017)^(1/8)-1. nivel_fonte desta linha é o pior das duas pontas (A<B<C<ausente). Uma das pontas é projeção institucional (2025) — herda o risco de circularidade já registrado em reconstrucao_demografica.py: não usar como evidência independente de aceleração/desaceleração.",projeção INE
demografia,Cidade de Tete,1997,indice_base_1997,100.0,índice (base=100),observado,B,"UNSD Demographic Yearbook 2007, Tabela 8 (city proper) — via agregador citypopulation.de/Wikipedia originalmente",valor_1997 / valor_1997 * 100,base 1997 = 100. nível da linha = pior nível entre 1997 (B) e 1997 (B).,ok
demografia,Cidade de Tete,2007,indice_base_1997,152.84,índice (base=100),observado,C,"UNSD Demographic Yearbook 2007, Tabela 8 (city proper) — via agregador citypopulation.de/Wikipedia originalmente ; data/raw/censo2007-tete-quadro3-populacao-por-idade-distrito-2007.html (INE, via Wayback)",valor_2007 / valor_1997 * 100,base 1997 = 100. nível da linha = pior nível entre 1997 (B) e 2007 (C).,ok
demografia,Cidade de Tete,2017,indice_base_1997,301.36,índice (base=100),observado,B,"UNSD Demographic Yearbook 2007, Tabela 8 (city proper) — via agregador citypopulation.de/Wikipedia originalmente ; HDX COD-PS (UNFPA/OCHA), vintage 2017, alinhado ao IV RGPH — data/raw/hdx_cod-ps-moz_admpop_adm2_2017_v2.csv",valor_2017 / valor_1997 * 100,base 1997 = 100. nível da linha = pior nível entre 1997 (B) e 2017 (A).,ok
demografia,Cidade de Tete,2025,indice_base_1997,451.29,índice (base=100),modelado,B,"UNSD Demographic Yearbook 2007, Tabela 8 (city proper) — via agregador citypopulation.de/Wikipedia originalmente ; HDX COD-PS (UNFPA/OCHA), vintage 2025, projeção do INE — data/raw/hdx_cod-ps-moz_admpop_adm2_2025.csv",valor_2025 / valor_1997 * 100,base 1997 = 100. nível da linha = pior nível entre 1997 (B) e 2025 (A).,projeção INE
demografia,Cidade de Tete,1997,populacao_total_residente,101984.0,pessoas,observado,B,"UNSD Demographic Yearbook 2007, Tabela 8 (city proper) — via agregador citypopulation.de/Wikipedia originalmente","contagem censitária (II RGPH 1997), confirmada em reprocessador da ONU","Termos de uso da ONU proíbem redistribuição/obra derivada — nível B (§4.0). Documento primário do INE não localizado (busca exaustiva no Wayback, ver data/provenance_parts/demograficas.md).",ok
demografia,Cidade de Tete,2007,populacao_total_residente,155870.0,pessoas,observado,C,"data/raw/censo2007-tete-quadro3-populacao-por-idade-distrito-2007.html (INE, via Wayback)","contagem censitária (III RGPH 2007), lida diretamente do documento primário","Proveniência primária resolvida (documento do INE), mas sem texto de licença localizável em nenhum domínio, ao vivo ou arquivado — nível C por §4.0 regra 1. Sem reprocessador institucional alternativo (HDX COD-PS só cobre 2017+).",ok
demografia,Cidade de Tete,2017,populacao_total_residente,307338.0,pessoas,observado,A,"HDX COD-PS (UNFPA/OCHA), vintage 2017, alinhado ao IV RGPH — data/raw/hdx_cod-ps-moz_admpop_adm2_2017_v2.csv","contagem censitária (IV RGPH 2017), reprocessada por COD-PS","Contagem residente do IV RGPH 2017 reprocessada pelo COD-PS (CC BY-IGO, nível A independente do documento do INE, que é nível C — data/DATA_AUDIT.md §0.1). NÃO ajustada pela sub-enumeração: para a Província de Tete (unidade pertinente a este estudo, todas as suas unidades sendo em Tete) a taxa é 3,8%; a taxa nacional é uma grandeza distinta, 3,7% — não são duas medidas da mesma coisa, e não se fundem numa faixa (verificado: o total do quadro provincial bate com a 'População Residente' não ajustada, não com o total ajustado da brochura nacional — data/provenance_parts/demograficas.md).",ok
