unidade_geografica,ano,variavel,valor,unidade_medida,selo,nivel_fonte,fonte,metodo,nota
Mina de Moatize (Vale),2009,producao_carvao_metalurgico,não disponível,Mt/ano,observado,A,"Vale S.A., Form 20-F (arquivo vale_20f_2011_a2208810z20-f.htm, exercício declarado 2011), accession 0001047469-12-004389, tabela 'coal production' / seção producao_carvao_metalurgico, https://www.sec.gov/Archives/edgar/data/917851/000104746912004389/a2208810z20-f.htm","pipeline/00_fetch/fetch_vale_20f.py — extrair_producao_moatize_vale(): pandas.read_html (parser: lxml), tabela 'coal production' do Form 20-F, alinhamento por índice de coluna (não posicional) da linha 'Moatize' × cabeçalho de anos; valor publicado pela Vale em milhares de toneladas métricas, convertido aqui para Mt/ano dividindo por 1.000 (conversão declarada nesta linha); base: 100 % da produção da mina, não ajustada à participação da Vale (nota de rodapé da tabela no 20-F)",sem produção reportada no filing (célula travessão '–') — operação ainda não iniciada ou sem produção declarada neste ano
Mina de Moatize (Vale),2009,producao_carvao_termico,não disponível,Mt/ano,observado,A,"Vale S.A., Form 20-F (arquivo vale_20f_2011_a2208810z20-f.htm, exercício declarado 2011), accession 0001047469-12-004389, tabela 'coal production' / seção producao_carvao_termico, https://www.sec.gov/Archives/edgar/data/917851/000104746912004389/a2208810z20-f.htm","pipeline/00_fetch/fetch_vale_20f.py — extrair_producao_moatize_vale(): pandas.read_html (parser: lxml), tabela 'coal production' do Form 20-F, alinhamento por índice de coluna (não posicional) da linha 'Moatize' × cabeçalho de anos; valor publicado pela Vale em milhares de toneladas métricas, convertido aqui para Mt/ano dividindo por 1.000 (conversão declarada nesta linha); base: 100 % da produção da mina, não ajustada à participação da Vale (nota de rodapé da tabela no 20-F)",sem produção reportada no filing (célula travessão '–') — operação ainda não iniciada ou sem produção declarada neste ano
Mina de Moatize (Vale),2010,producao_carvao_metalurgico,não disponível,Mt/ano,observado,A,"Vale S.A., Form 20-F (arquivo vale_20f_2012_a2213891z20-f.htm, exercício declarado 2012), accession 0001047469-13-003771, tabela 'coal production' / seção producao_carvao_metalurgico, https://www.sec.gov/Archives/edgar/data/917851/000104746913003771/a2213891z20-f.htm","pipeline/00_fetch/fetch_vale_20f.py — extrair_producao_moatize_vale(): pandas.read_html (parser: lxml), tabela 'coal production' do Form 20-F, alinhamento por índice de coluna (não posicional) da linha 'Moatize' × cabeçalho de anos; valor publicado pela Vale em milhares de toneladas métricas, convertido aqui para Mt/ano dividindo por 1.000 (conversão declarada nesta linha); base: 100 % da produção da mina, não ajustada à participação da Vale (nota de rodapé da tabela no 20-F)",sem produção reportada no filing (célula travessão '–') — operação ainda não iniciada ou sem produção declarada neste ano
Mina de Moatize (Vale),2010,producao_carvao_termico,não disponível,Mt/ano,observado,A,"Vale S.A., Form 20-F (arquivo vale_20f_2012_a2213891z20-f.htm, exercício declarado 2012), accession 0001047469-13-003771, tabela 'coal production' / seção producao_carvao_termico, https://www.sec.gov/Archives/edgar/data/917851/000104746913003771/a2213891z20-f.htm","pipeline/00_fetch/fetch_vale_20f.py — extrair_producao_moatize_vale(): pandas.read_html (parser: lxml), tabela 'coal production' do Form 20-F, alinhamento por índice de coluna (não posicional) da linha 'Moatize' × cabeçalho de anos; valor publicado pela Vale em milhares de toneladas métricas, convertido aqui para Mt/ano dividindo por 1.000 (conversão declarada nesta linha); base: 100 % da produção da mina, não ajustada à participação da Vale (nota de rodapé da tabela no 20-F)",sem produção reportada no filing (célula travessão '–') — operação ainda não iniciada ou sem produção declarada neste ano
Mina de Moatize (Vale),2011,producao_carvao_metalurgico,0.275,Mt/ano,observado,A,"Vale S.A., Form 20-F (arquivo vale_20f_2013_a2219141z20-f.htm, exercício declarado 2013), accession 0001047469-14-003092, tabela 'coal production' / seção producao_carvao_metalurgico, https://www.sec.gov/Archives/edgar/data/917851/000104746914003092/a2219141z20-f.htm","pipeline/00_fetch/fetch_vale_20f.py — extrair_producao_moatize_vale(): pandas.read_html (parser: lxml), tabela 'coal production' do Form 20-F, alinhamento por índice de coluna (não posicional) da linha 'Moatize' × cabeçalho de anos; valor publicado pela Vale em milhares de toneladas métricas, convertido aqui para Mt/ano dividindo por 1.000 (conversão declarada nesta linha); base: 100 % da produção da mina, não ajustada à participação da Vale (nota de rodapé da tabela no 20-F)",
Mina de Moatize (Vale),2011,producao_carvao_termico,0.342,Mt/ano,observado,A,"Vale S.A., Form 20-F (arquivo vale_20f_2013_a2219141z20-f.htm, exercício declarado 2013), accession 0001047469-14-003092, tabela 'coal production' / seção producao_carvao_termico, https://www.sec.gov/Archives/edgar/data/917851/000104746914003092/a2219141z20-f.htm","pipeline/00_fetch/fetch_vale_20f.py — extrair_producao_moatize_vale(): pandas.read_html (parser: lxml), tabela 'coal production' do Form 20-F, alinhamento por índice de coluna (não posicional) da linha 'Moatize' × cabeçalho de anos; valor publicado pela Vale em milhares de toneladas métricas, convertido aqui para Mt/ano dividindo por 1.000 (conversão declarada nesta linha); base: 100 % da produção da mina, não ajustada à participação da Vale (nota de rodapé da tabela no 20-F)",
Mina de Moatize (Vale),2012,producao_carvao_metalurgico,2.501,Mt/ano,observado,A,"Vale S.A., Form 20-F (arquivo vale_20f_2014_a2223670z20-f.htm, exercício declarado 2014), accession 0001047469-15-002553, tabela 'coal production' / seção producao_carvao_metalurgico, https://www.sec.gov/Archives/edgar/data/917851/000104746915002553/a2223670z20-f.htm","pipeline/00_fetch/fetch_vale_20f.py — extrair_producao_moatize_vale(): pandas.read_html (parser: lxml), tabela 'coal production' do Form 20-F, alinhamento por índice de coluna (não posicional) da linha 'Moatize' × cabeçalho de anos; valor publicado pela Vale em milhares de toneladas métricas, convertido aqui para Mt/ano dividindo por 1.000 (conversão declarada nesta linha); base: 100 % da produção da mina, não ajustada à participação da Vale (nota de rodapé da tabela no 20-F)",
Mina de Moatize (Vale),2012,producao_carvao_termico,1.267,Mt/ano,observado,A,"Vale S.A., Form 20-F (arquivo vale_20f_2014_a2223670z20-f.htm, exercício declarado 2014), accession 0001047469-15-002553, tabela 'coal production' / seção producao_carvao_termico, https://www.sec.gov/Archives/edgar/data/917851/000104746915002553/a2223670z20-f.htm","pipeline/00_fetch/fetch_vale_20f.py — extrair_producao_moatize_vale(): pandas.read_html (parser: lxml), tabela 'coal production' do Form 20-F, alinhamento por índice de coluna (não posicional) da linha 'Moatize' × cabeçalho de anos; valor publicado pela Vale em milhares de toneladas métricas, convertido aqui para Mt/ano dividindo por 1.000 (conversão declarada nesta linha); base: 100 % da produção da mina, não ajustada à participação da Vale (nota de rodapé da tabela no 20-F)",
Mina de Moatize (Vale),2013,producao_carvao_metalurgico,2.373,Mt/ano,observado,A,"Vale S.A., Form 20-F (arquivo vale_20f_2015_a2227496z20-f.htm, exercício declarado 2015), accession 0001047469-16-011818, tabela 'coal production' / seção producao_carvao_metalurgico, https://www.sec.gov/Archives/edgar/data/917851/000104746916011818/a2227496z20-f.htm","pipeline/00_fetch/fetch_vale_20f.py — extrair_producao_moatize_vale(): pandas.read_html (parser: lxml), tabela 'coal production' do Form 20-F, alinhamento por índice de coluna (não posicional) da linha 'Moatize' × cabeçalho de anos; valor publicado pela Vale em milhares de toneladas métricas, convertido aqui para Mt/ano dividindo por 1.000 (conversão declarada nesta linha); base: 100 % da produção da mina, não ajustada à participação da Vale (nota de rodapé da tabela no 20-F)",
Mina de Moatize (Vale),2013,producao_carvao_termico,1.444,Mt/ano,observado,A,"Vale S.A., Form 20-F (arquivo vale_20f_2015_a2227496z20-f.htm, exercício declarado 2015), accession 0001047469-16-011818, tabela 'coal production' / seção producao_carvao_termico, https://www.sec.gov/Archives/edgar/data/917851/000104746916011818/a2227496z20-f.htm","pipeline/00_fetch/fetch_vale_20f.py — extrair_producao_moatize_vale(): pandas.read_html (parser: lxml), tabela 'coal production' do Form 20-F, alinhamento por índice de coluna (não posicional) da linha 'Moatize' × cabeçalho de anos; valor publicado pela Vale em milhares de toneladas métricas, convertido aqui para Mt/ano dividindo por 1.000 (conversão declarada nesta linha); base: 100 % da produção da mina, não ajustada à participação da Vale (nota de rodapé da tabela no 20-F)",
