ano,estrato_mapeado,classe_referencia,n,proporcao_de_area
2000,construido,construido,12,0.002923
2000,construido,nao_construido,11,0.00268
2000,nao_construido,construido,0,0.0
2000,nao_construido,nao_construido,24,0.994397
2005,construido,construido,14,0.004825
2005,construido,nao_construido,10,0.003446
2005,nao_construido,construido,0,0.0
2005,nao_construido,nao_construido,24,0.991729
2010,construido,construido,6,0.003216
2010,construido,nao_construido,16,0.008576
2010,nao_construido,construido,0,0.0
2010,nao_construido,nao_construido,22,0.988207
2015,construido,construido,13,0.008376
2015,construido,nao_construido,11,0.007087
2015,nao_construido,construido,1,0.042806
2015,nao_construido,nao_construido,22,0.941731
2020,construido,construido,12,0.008613
2020,construido,nao_construido,11,0.007895
2020,nao_construido,construido,3,0.122936
2020,nao_construido,nao_construido,21,0.860555
2025,construido,construido,15,0.012041
2025,construido,nao_construido,9,0.007224
2025,nao_construido,construido,0,0.0
2025,nao_construido,nao_construido,24,0.980735
