razao_verde,buffer_envelope_m,janela_fecho_px,ano,area_km2,cobertura_poligonos_maus,adotado,nota
0.5,250.0,3,2000,0.0,0.0,False,"Varredura dos três parâmetros livres da regra de pegada minerária (docs/ADR/0011). A linha com adotado=True é a configuração publicada em pegada_por_ano.csv. Área após permanência, acumulada desde 2006. AUDITORIA, não produto: nenhum número do artigo ou do app sai daqui."
0.5,250.0,3,2005,0.0,0.0,False,"Varredura dos três parâmetros livres da regra de pegada minerária (docs/ADR/0011). A linha com adotado=True é a configuração publicada em pegada_por_ano.csv. Área após permanência, acumulada desde 2006. AUDITORIA, não produto: nenhum número do artigo ou do app sai daqui."
0.5,250.0,3,2010,2.776,0.0387,False,"Varredura dos três parâmetros livres da regra de pegada minerária (docs/ADR/0011). A linha com adotado=True é a configuração publicada em pegada_por_ano.csv. Área após permanência, acumulada desde 2006. AUDITORIA, não produto: nenhum número do artigo ou do app sai daqui."
0.5,250.0,3,2015,20.356,0.3283,False,"Varredura dos três parâmetros livres da regra de pegada minerária (docs/ADR/0011). A linha com adotado=True é a configuração publicada em pegada_por_ano.csv. Área após permanência, acumulada desde 2006. AUDITORIA, não produto: nenhum número do artigo ou do app sai daqui."
0.5,250.0,3,2020,34.012,0.5366,False,"Varredura dos três parâmetros livres da regra de pegada minerária (docs/ADR/0011). A linha com adotado=True é a configuração publicada em pegada_por_ano.csv. Área após permanência, acumulada desde 2006. AUDITORIA, não produto: nenhum número do artigo ou do app sai daqui."
0.5,250.0,3,2025,47.903,0.7062,False,"Varredura dos três parâmetros livres da regra de pegada minerária (docs/ADR/0011). A linha com adotado=True é a configuração publicada em pegada_por_ano.csv. Área após permanência, acumulada desde 2006. AUDITORIA, não produto: nenhum número do artigo ou do app sai daqui."
0.5,250.0,5,2000,0.0,0.0,False,"Varredura dos três parâmetros livres da regra de pegada minerária (docs/ADR/0011). A linha com adotado=True é a configuração publicada em pegada_por_ano.csv. Área após permanência, acumulada desde 2006. AUDITORIA, não produto: nenhum número do artigo ou do app sai daqui."
0.5,250.0,5,2005,0.0,0.0,False,"Varredura dos três parâmetros livres da regra de pegada minerária (docs/ADR/0011). A linha com adotado=True é a configuração publicada em pegada_por_ano.csv. Área após permanência, acumulada desde 2006. AUDITORIA, não produto: nenhum número do artigo ou do app sai daqui."
0.5,250.0,5,2010,3.282,0.0449,False,"Varredura dos três parâmetros livres da regra de pegada minerária (docs/ADR/0011). A linha com adotado=True é a configuração publicada em pegada_por_ano.csv. Área após permanência, acumulada desde 2006. AUDITORIA, não produto: nenhum número do artigo ou do app sai daqui."
0.5,250.0,5,2015,22.844,0.3667,False,"Varredura dos três parâmetros livres da regra de pegada minerária (docs/ADR/0011). A linha com adotado=True é a configuração publicada em pegada_por_ano.csv. Área após permanência, acumulada desde 2006. AUDITORIA, não produto: nenhum número do artigo ou do app sai daqui."
0.5,250.0,5,2020,37.533,0.589,False,"Varredura dos três parâmetros livres da regra de pegada minerária (docs/ADR/0011). A linha com adotado=True é a configuração publicada em pegada_por_ano.csv. Área após permanência, acumulada desde 2006. AUDITORIA, não produto: nenhum número do artigo ou do app sai daqui."
0.5,250.0,5,2025,50.558,0.7399,False,"Varredura dos três parâmetros livres da regra de pegada minerária (docs/ADR/0011). A linha com adotado=True é a configuração publicada em pegada_por_ano.csv. Área após permanência, acumulada desde 2006. AUDITORIA, não produto: nenhum número do artigo ou do app sai daqui."
0.5,500.0,3,2000,0.0,0.0,False,"Varredura dos três parâmetros livres da regra de pegada minerária (docs/ADR/0011). A linha com adotado=True é a configuração publicada em pegada_por_ano.csv. Área após permanência, acumulada desde 2006. AUDITORIA, não produto: nenhum número do artigo ou do app sai daqui."
0.5,500.0,3,2005,0.0,0.0,False,"Varredura dos três parâmetros livres da regra de pegada minerária (docs/ADR/0011). A linha com adotado=True é a configuração publicada em pegada_por_ano.csv. Área após permanência, acumulada desde 2006. AUDITORIA, não produto: nenhum número do artigo ou do app sai daqui."
