unidade_geografica,ano_referencia,metodo_peso,estimativa_populacao,selo,nivel_fonte,fonte_populacao,fonte_peso,nota_metodo,nota_comissao,desvio_pct_validacao_tete,piso,teto,populacao_observada_2017,desvio_pct_classificacao_propria,desvio_pct_ghsl_built_s,desvio_pct_pertenca_binaria,desvio_pct_pertenca_mediana,desvio_pct_diagnostico_sem_peso
Vila de Moatize,2017,classificacao_propria,29008.7,modelado,A,"GRID3 v1.1 MOZ (Bondarenko et al. 2020, WorldPop/Southampton, CC BY 4.0, calibrado ao Censo 2017) — data/raw/grid3_moz_pop_v1_1_2020_100m_aoi.tif","classificação própria (urbano ∪ reassentamento, 2020) — multiplicador de fração, RESTRITO por construído","Grade de população (GRID3 v1.1, EPSG:4326, ~100 m, calibrada ao Censo 2017) NUNCA reprojetada/reamostrada — permanece na grade nativa. A máscara de área construída (30 m, 32736) é que é reprojetada para a grade do GRID3, com Resampling.average (fração de cobertura por célula, 0-1) — cobertura de área, não interpolação de uma variável de contagem. Estimativa = soma célula a célula de população_da_célula x fração_construída x pertence_ao_cluster (Voronoi por vizinho mais próximo entre tete/moatize_vila/cateme/mwaladzi, _common.atribuir_unidade_mais_proxima_grade_completa).","peso 'classificacao_propria' carrega a comissão medida na classe construído: acurácia do usuário de `construido` = 0,286–0,625 (docs/ADR/0009; reexecutado em docs/ADR/0014): entre 37,5 % e 71,4 % do que o mapa chama de construído não é. — DUAS relações, dois referentes: frente ao peso GHSL BUILT-S (o outro multiplicador de fração), tende a puxar a estimativa para CIMA (mais comissão = mais área contada = mais população pesada); frente à população OBSERVADA em Cidade de Tete (307.338, HDX COD-PS 2017), a mesma variante SUBESTIMA em 40.4% — nenhum multiplicador de fração recupera o observado, porque o GRID3 já é um produto dasimétrico calibrado ao Censo 2017, e pesá-lo de novo pela máscara de construído restringe a população duas vezes.",,,,,,,,,
Vila de Moatize,2017,ghsl_built_s,15192.2,modelado,A,"GRID3 v1.1 MOZ (Bondarenko et al. 2020, WorldPop/Southampton, CC BY 4.0, calibrado ao Censo 2017) — data/raw/grid3_moz_pop_v1_1_2020_100m_aoi.tif","GHSL BUILT-S R2023A, época 2020 (fração construída por célula) — multiplicador de fração, RESTRITO por construído","Grade de população (GRID3 v1.1, EPSG:4326, ~100 m, calibrada ao Censo 2017) NUNCA reprojetada/reamostrada — permanece na grade nativa. A máscara de área construída (30 m, 32736) é que é reprojetada para a grade do GRID3, com Resampling.average (fração de cobertura por célula, 0-1) — cobertura de área, não interpolação de uma variável de contagem. Estimativa = soma célula a célula de população_da_célula x fração_construída x pertence_ao_cluster (Voronoi por vizinho mais próximo entre tete/moatize_vila/cateme/mwaladzi, _common.atribuir_unidade_mais_proxima_grade_completa).",,,,,,,,,,
Vila de Moatize,2017,pertenca_binaria,40444.1,modelado,A,"GRID3 v1.1 MOZ (Bondarenko et al. 2020, WorldPop/Southampton, CC BY 4.0, calibrado ao Censo 2017) — data/raw/grid3_moz_pop_v1_1_2020_100m_aoi.tif","classificação própria, pertença binária (fração_construída > 0, sem multiplicador) — RESTRITO por construído","Grade de população (GRID3 v1.1, EPSG:4326, ~100 m, calibrada ao Censo 2017) NUNCA reprojetada/reamostrada — permanece na grade nativa. A máscara de área construída (30 m, 32736) é que é reprojetada para a grade do GRID3, com Resampling.average (fração de cobertura por célula, 0-1) — cobertura de área, não interpolação de uma variável de contagem. Estimativa = soma célula a célula de população_da_célula x fração_construída x pertence_ao_cluster (Voronoi por vizinho mais próximo entre tete/moatize_vila/cateme/mwaladzi, _common.atribuir_unidade_mais_proxima_grade_completa).",,,,,,,,,,
Vila de Moatize,2017,pertenca_mediana,24630.2,modelado,A,"GRID3 v1.1 MOZ (Bondarenko et al. 2020, WorldPop/Southampton, CC BY 4.0, calibrado ao Censo 2017) — data/raw/grid3_moz_pop_v1_1_2020_100m_aoi.tif","classificação própria, pertença binária acima da mediana das células com fração > 0 (corte por np.quantile, ADR 0014, nunca limiar absoluto) — RESTRITO por construído","Grade de população (GRID3 v1.1, EPSG:4326, ~100 m, calibrada ao Censo 2017) NUNCA reprojetada/reamostrada — permanece na grade nativa. A máscara de área construída (30 m, 32736) é que é reprojetada para a grade do GRID3, com Resampling.average (fração de cobertura por célula, 0-1) — cobertura de área, não interpolação de uma variável de contagem. Estimativa = soma célula a célula de população_da_célula x fração_construída x pertence_ao_cluster (Voronoi por vizinho mais próximo entre tete/moatize_vila/cateme/mwaladzi, _common.atribuir_unidade_mais_proxima_grade_completa).",,,,,,,,,,
Vila de Moatize,2017,piso_teto,,modelado,A,,,"piso = MENOR das variantes RESTRITAS por máscara de construído (classificação própria, GHSL, pertença binária, pertença por mediana) — na validação em Cidade de Tete perde entre 25% e 74% do observado, logo é limite INFERIOR. teto = soma do GRID3 no cluster de Voronoi INTEIRO, sem nenhum peso de construído (variante 'd' abaixo) — valida em Cidade de Tete a +1.6% do observado, mas inclui a área rural do cluster atribuída à sede mais próxima, logo é limite SUPERIOR, não a vila propriamente. NENHUM valor central é publicado: nem a média, nem qualquer variante isolada — ver linhas 'metodo_peso' individuais para cada variante nomeada, e a linha 'validacao_cruzada' para o desvio de cada uma frente ao observado.",,,15192.2,69301.3,,,,,,
Vila de Moatize,2017,diagnostico_sem_peso_construido,69301.3,modelado,A,,,"É o TETO publicado (mesmo valor da linha 'piso_teto'), mantido também aqui, nomeado, por ser a variante que valida em Cidade de Tete (+1.6% do observado): soma do GRID3 em todo o cluster de Voronoi, sem nenhum peso de construído (equivale a atribuir a célula inteira, mesmo se rural, ao ponto-sede mais próximo). A validação mostra que é a PARTIÇÃO espacial, não o peso de construído, que reproduz o observado — todo peso de construído (fração ou pertença) SUBESTIMA.",,,,,,,,,,
Cidade de Tete,2017,classificacao_propria,183035.9,modelado,A,"GRID3 v1.1 MOZ (Bondarenko et al. 2020, WorldPop/Southampton, CC BY 4.0, calibrado ao Censo 2017) — data/raw/grid3_moz_pop_v1_1_2020_100m_aoi.tif","classificação própria (urbano ∪ reassentamento, 2020) — multiplicador de fração, RESTRITO por construído","Grade de população (GRID3 v1.1, EPSG:4326, ~100 m, calibrada ao Censo 2017) NUNCA reprojetada/reamostrada — permanece na grade nativa. A máscara de área construída (30 m, 32736) é que é reprojetada para a grade do GRID3, com Resampling.average (fração de cobertura por célula, 0-1) — cobertura de área, não interpolação de uma variável de contagem. Estimativa = soma célula a célula de população_da_célula x fração_construída x pertence_ao_cluster (Voronoi por vizinho mais próximo entre tete/moatize_vila/cateme/mwaladzi, _common.atribuir_unidade_mais_proxima_grade_completa).","peso 'classificacao_propria' carrega a comissão medida na classe construído: acurácia do usuário de `construido` = 0,286–0,625 (docs/ADR/0009; reexecutado em docs/ADR/0014): entre 37,5 % e 71,4 % do que o mapa chama de construído não é. — DUAS relações, dois referentes: frente ao peso GHSL BUILT-S (o outro multiplicador de fração), tende a puxar a estimativa para CIMA (mais comissão = mais área contada = mais população pesada); frente à população OBSERVADA em Cidade de Tete (307.338, HDX COD-PS 2017), a mesma variante SUBESTIMA em 40.4% — nenhum multiplicador de fração recupera o observado, porque o GRID3 já é um produto dasimétrico calibrado ao Censo 2017, e pesá-lo de novo pela máscara de construído restringe a população duas vezes.",-40.44,,,,,,,,
Cidade de Tete,2017,ghsl_built_s,78511.6,modelado,A,"GRID3 v1.1 MOZ (Bondarenko et al. 2020, WorldPop/Southampton, CC BY 4.0, calibrado ao Censo 2017) — data/raw/grid3_moz_pop_v1_1_2020_100m_aoi.tif","GHSL BUILT-S R2023A, época 2020 (fração construída por célula) — multiplicador de fração, RESTRITO por construído","Grade de população (GRID3 v1.1, EPSG:4326, ~100 m, calibrada ao Censo 2017) NUNCA reprojetada/reamostrada — permanece na grade nativa. A máscara de área construída (30 m, 32736) é que é reprojetada para a grade do GRID3, com Resampling.average (fração de cobertura por célula, 0-1) — cobertura de área, não interpolação de uma variável de contagem. Estimativa = soma célula a célula de população_da_célula x fração_construída x pertence_ao_cluster (Voronoi por vizinho mais próximo entre tete/moatize_vila/cateme/mwaladzi, _common.atribuir_unidade_mais_proxima_grade_completa).",,-74.45,,,,,,,,
Cidade de Tete,2017,pertenca_binaria,229867.4,modelado,A,"GRID3 v1.1 MOZ (Bondarenko et al. 2020, WorldPop/Southampton, CC BY 4.0, calibrado ao Censo 2017) — data/raw/grid3_moz_pop_v1_1_2020_100m_aoi.tif","classificação própria, pertença binária (fração_construída > 0, sem multiplicador) — RESTRITO por construído","Grade de população (GRID3 v1.1, EPSG:4326, ~100 m, calibrada ao Censo 2017) NUNCA reprojetada/reamostrada — permanece na grade nativa. A máscara de área construída (30 m, 32736) é que é reprojetada para a grade do GRID3, com Resampling.average (fração de cobertura por célula, 0-1) — cobertura de área, não interpolação de uma variável de contagem. Estimativa = soma célula a célula de população_da_célula x fração_construída x pertence_ao_cluster (Voronoi por vizinho mais próximo entre tete/moatize_vila/cateme/mwaladzi, _common.atribuir_unidade_mais_proxima_grade_completa).",,-25.21,,,,,,,,
Cidade de Tete,2017,pertenca_mediana,152462.1,modelado,A,"GRID3 v1.1 MOZ (Bondarenko et al. 2020, WorldPop/Southampton, CC BY 4.0, calibrado ao Censo 2017) — data/raw/grid3_moz_pop_v1_1_2020_100m_aoi.tif","classificação própria, pertença binária acima da mediana das células com fração > 0 (corte por np.quantile, ADR 0014, nunca limiar absoluto) — RESTRITO por construído","Grade de população (GRID3 v1.1, EPSG:4326, ~100 m, calibrada ao Censo 2017) NUNCA reprojetada/reamostrada — permanece na grade nativa. A máscara de área construída (30 m, 32736) é que é reprojetada para a grade do GRID3, com Resampling.average (fração de cobertura por célula, 0-1) — cobertura de área, não interpolação de uma variável de contagem. Estimativa = soma célula a célula de população_da_célula x fração_construída x pertence_ao_cluster (Voronoi por vizinho mais próximo entre tete/moatize_vila/cateme/mwaladzi, _common.atribuir_unidade_mais_proxima_grade_completa).",,-50.39,,,,,,,,
