id_cego,id_ponto,ano,estrato_desenho,n_h_desenho,w_h_desenho,linha,coluna,x_utm36s,y_utm36s
cult2020-C012,cult2020-001,2020,cultivo_irrigado,12,0.02055000,400,853,579007.2,8218985.3
cult2020-C006,cult2020-002,2020,cultivo_irrigado,12,0.02055000,477,261,561247.2,8216675.3
cult2020-C022,cult2020-003,2020,cultivo_irrigado,12,0.02055000,616,277,561727.2,8212505.3
cult2020-C035,cult2020-004,2020,cultivo_irrigado,12,0.02055000,803,447,566827.2,8206895.3
cult2020-C021,cult2020-005,2020,cultivo_irrigado,12,0.02055000,931,545,569767.2,8203055.3
cult2020-C004,cult2020-006,2020,cultivo_irrigado,12,0.02055000,959,419,565987.2,8202215.3
cult2020-C025,cult2020-007,2020,cultivo_irrigado,12,0.02055000,983,613,571807.2,8201495.3
cult2020-C030,cult2020-008,2020,cultivo_irrigado,12,0.02055000,1016,375,564667.2,8200505.3
cult2020-C013,cult2020-009,2020,cultivo_irrigado,12,0.02055000,1019,1904,610537.2,8200415.3
cult2020-C033,cult2020-010,2020,cultivo_irrigado,12,0.02055000,1043,735,575467.2,8199695.3
cult2020-C027,cult2020-011,2020,cultivo_irrigado,12,0.02055000,1108,768,576457.2,8197745.3
cult2020-C003,cult2020-012,2020,cultivo_irrigado,12,0.02055000,1180,1550,599917.2,8195585.3
cult2020-C014,cult2020-013,2020,cultivo_sequeiro,12,0.14401400,196,1122,587077.2,8225105.3
cult2020-C011,cult2020-014,2020,cultivo_sequeiro,12,0.14401400,256,1193,589207.2,8223305.3
cult2020-C032,cult2020-015,2020,cultivo_sequeiro,12,0.14401400,483,720,575017.2,8216495.3
cult2020-C031,cult2020-016,2020,cultivo_sequeiro,12,0.14401400,511,1643,602707.2,8215655.3
cult2020-C020,cult2020-017,2020,cultivo_sequeiro,12,0.14401400,572,723,575107.2,8213825.3
cult2020-C001,cult2020-018,2020,cultivo_sequeiro,12,0.14401400,625,1581,600847.2,8212235.3
cult2020-C019,cult2020-019,2020,cultivo_sequeiro,12,0.14401400,627,898,580357.2,8212175.3
cult2020-C009,cult2020-020,2020,cultivo_sequeiro,12,0.14401400,657,1823,608107.2,8211275.3
cult2020-C028,cult2020-021,2020,cultivo_sequeiro,12,0.14401400,667,1826,608197.2,8210975.3
cult2020-C015,cult2020-022,2020,cultivo_sequeiro,12,0.14401400,712,1803,607507.2,8209625.3
cult2020-C026,cult2020-023,2020,cultivo_sequeiro,12,0.14401400,820,1961,612247.2,8206385.3
cult2020-C016,cult2020-024,2020,cultivo_sequeiro,12,0.14401400,1172,2082,615877.2,8195825.3
cult2020-C017,cult2020-025,2020,outro,12,0.83543600,123,1456,597097.2,8227295.3
cult2020-C010,cult2020-026,2020,outro,12,0.83543600,631,596,571297.2,8212055.3
cult2020-C023,cult2020-027,2020,outro,12,0.83543600,665,1426,596197.2,8211035.3
cult2020-C018,cult2020-028,2020,outro,12,0.83543600,718,1136,587497.2,8209445.3
cult2020-C007,cult2020-029,2020,outro,12,0.83543600,754,639,572587.2,8208365.3
cult2020-C029,cult2020-030,2020,outro,12,0.83543600,784,1124,587137.2,8207465.3
cult2020-C002,cult2020-031,2020,outro,12,0.83543600,987,1388,595057.2,8201375.3
cult2020-C005,cult2020-032,2020,outro,12,0.83543600,1012,1736,605497.2,8200625.3
cult2020-C008,cult2020-033,2020,outro,12,0.83543600,1059,728,575257.2,8199215.3
cult2020-C024,cult2020-034,2020,outro,12,0.83543600,1077,438,566557.2,8198675.3
cult2020-C034,cult2020-035,2020,outro,12,0.83543600,1130,316,562897.2,8197085.3
cult2020-C036,cult2020-036,2020,outro,12,0.83543600,1184,1659,603187.2,8195465.3
