id_ponto,id_cego,ano,estrato_mapeado,linha,coluna,x_utm36s,y_utm36s
2000-001,2000-C006,2000,construido,447,768,576457.2,8217575.3
2000-002,2000-C041,2000,construido,494,416,565897.2,8216165.3
2000-003,2000-C030,2000,construido,523,262,561277.2,8215295.3
2000-004,2000-C014,2000,construido,539,387,565027.2,8214815.3
2000-005,2000-C033,2000,construido,539,414,565837.2,8214815.3
2000-006,2000-C021,2000,construido,546,257,561127.2,8214605.3
2000-007,2000-C004,2000,construido,553,386,564997.2,8214395.3
2000-008,2000-C032,2000,construido,554,414,565837.2,8214365.3
2000-009,2000-C028,2000,construido,570,205,559567.2,8213885.3
2000-010,2000-C044,2000,construido,570,213,559807.2,8213885.3
2000-011,2000-C015,2000,construido,572,310,562717.2,8213825.3
2000-012,2000-C007,2000,construido,577,399,565387.2,8213675.3
2000-013,2000-C048,2000,construido,589,198,559357.2,8213315.3
2000-014,2000-C019,2000,construido,591,214,559837.2,8213255.3
2000-015,2000-C025,2000,construido,592,282,561877.2,8213225.3
2000-016,2000-C018,2000,construido,601,339,563587.2,8212955.3
2000-017,2000-C008,2000,construido,603,213,559807.2,8212895.3
2000-018,2000-C043,2000,construido,604,302,562477.2,8212865.3
2000-019,2000-C040,2000,construido,609,320,563017.2,8212715.3
2000-020,2000-C029,2000,construido,614,239,560587.2,8212565.3
2000-021,2000-C001,2000,construido,629,312,562777.2,8212115.3
2000-022,2000-C036,2000,construido,636,292,562177.2,8211905.3
2000-023,2000-C037,2000,construido,669,309,562687.2,8210915.3
2000-024,2000-C031,2000,construido,696,466,567397.2,8210105.3
2000-025,2000-C027,2000,nao_construido,174,1812,607777.2,8225765.3
2000-026,2000-C047,2000,nao_construido,183,1463,597307.2,8225495.3
2000-027,2000-C045,2000,nao_construido,240,913,580807.2,8223785.3
2000-028,2000-C035,2000,nao_construido,275,358,564157.2,8222735.3
2000-029,2000-C013,2000,nao_construido,364,1324,593137.2,8220065.3
2000-030,2000-C023,2000,nao_construido,491,1891,610147.2,8216255.3
2000-031,2000-C020,2000,nao_construido,518,1474,597637.2,8215445.3
2000-032,2000-C010,2000,nao_construido,547,2019,613987.2,8214575.3
2000-033,2000-C024,2000,nao_construido,616,725,575167.2,8212505.3
2000-034,2000-C011,2000,nao_construido,618,1163,588307.2,8212445.3
2000-035,2000-C002,2000,nao_construido,724,860,579217.2,8209265.3
2000-036,2000-C016,2000,nao_construido,786,310,562717.2,8207405.3
2000-037,2000-C039,2000,nao_construido,841,1944,611737.2,8205755.3
2000-038,2000-C005,2000,nao_construido,914,1459,597187.2,8203565.3
2000-039,2000-C009,2000,nao_construido,920,1368,594457.2,8203385.3
2000-040,2000-C034,2000,nao_construido,921,867,579427.2,8203355.3
2000-041,2000-C042,2000,nao_construido,941,841,578647.2,8202755.3
2000-042,2000-C026,2000,nao_construido,941,962,582277.2,8202755.3
2000-043,2000-C012,2000,nao_construido,965,1220,590017.2,8202035.3
2000-044,2000-C022,2000,nao_construido,1095,2053,615007.2,8198135.3
2000-045,2000-C046,2000,nao_construido,1177,398,565357.2,8195675.3
2000-046,2000-C017,2000,nao_construido,1190,227,560227.2,8195285.3
2000-047,2000-C038,2000,nao_construido,1191,1474,597637.2,8195255.3
2000-048,2000-C003,2000,nao_construido,1210,1676,603697.2,8194685.3
2005-001,2005-C002,2005,construido,411,771,576547.2,8218655.3
2005-002,2005-C021,2005,construido,417,766,576397.2,8218475.3
2005-003,2005-C033,2005,construido,438,854,579037.2,8217845.3
2005-004,2005-C003,2005,construido,441,828,578257.2,8217755.3
2005-005,2005-C043,2005,construido,516,64,555337.2,8215505.3
2005-006,2005-C006,2005,construido,520,258,561157.2,8215385.3
2005-007,2005-C016,2005,construido,527,462,567277.2,8215175.3
2005-008,2005-C027,2005,construido,539,349,563887.2,8214815.3
2005-009,2005-C010,2005,construido,550,201,559447.2,8214485.3
2005-010,2005-C014,2005,construido,557,287,562027.2,8214275.3
2005-011,2005-C024,2005,construido,557,377,564727.2,8214275.3
2005-012,2005-C025,2005,construido,559,381,564847.2,8214215.3
2005-013,2005-C018,2005,construido,560,372,564577.2,8214185.3
2005-014,2005-C011,2005,construido,580,237,560527.2,8213585.3
2005-015,2005-C009,2005,construido,588,310,562717.2,8213345.3
2005-016,2005-C048,2005,construido,591,281,561847.2,8213255.3
2005-017,2005-C045,2005,construido,616,255,561067.2,8212505.3
2005-018,2005-C040,2005,construido,618,344,563737.2,8212445.3
2005-019,2005-C028,2005,construido,627,310,562717.2,8212175.3
2005-020,2005-C047,2005,construido,638,293,562207.2,8211845.3
2005-021,2005-C004,2005,construido,695,263,561307.2,8210135.3
2005-022,2005-C041,2005,construido,700,283,561907.2,8209985.3
2005-023,2005-C019,2005,construido,706,459,567187.2,8209805.3
2005-024,2005-C012,2005,construido,720,309,562687.2,8209385.3
2005-025,2005-C036,2005,nao_construido,61,1695,604267.2,8229155.3
2005-026,2005-C007,2005,nao_construido,80,283,561907.2,8228585.3
2005-027,2005-C030,2005,nao_construido,224,650,572917.2,8224265.3
2005-028,2005-C029,2005,nao_construido,273,311,562747.2,8222795.3
2005-029,2005-C031,2005,nao_construido,309,608,571657.2,8221715.3
2005-030,2005-C001,2005,nao_construido,363,234,560437.2,8220095.3
2005-031,2005-C038,2005,nao_construido,390,617,571927.2,8219285.3
2005-032,2005-C005,2005,nao_construido,410,1587,601027.2,8218685.3
2005-033,2005-C046,2005,nao_construido,419,1246,590797.2,8218415.3
2005-034,2005-C034,2005,nao_construido,436,1630,602317.2,8217905.3
2005-035,2005-C042,2005,nao_construido,582,1483,597907.2,8213525.3
2005-036,2005-C008,2005,nao_construido,676,1942,611677.2,8210705.3
2005-037,2005-C023,2005,nao_construido,730,323,563107.2,8209085.3
2005-038,2005-C022,2005,nao_construido,792,1531,599347.2,8207225.3
2005-039,2005-C020,2005,nao_construido,793,1925,611167.2,8207195.3
2005-040,2005-C013,2005,nao_construido,805,1589,601087.2,8206835.3
2005-041,2005-C017,2005,nao_construido,839,1340,593617.2,8205815.3
2005-042,2005-C044,2005,nao_construido,840,1913,610807.2,8205785.3
2005-043,2005-C032,2005,nao_construido,1007,278,561757.2,8200775.3
2005-044,2005-C039,2005,nao_construido,1069,1304,592537.2,8198915.3
2005-045,2005-C026,2005,nao_construido,1114,951,581947.2,8197565.3
2005-046,2005-C015,2005,nao_construido,1116,1655,603067.2,8197505.3
2005-047,2005-C035,2005,nao_construido,1167,916,580897.2,8195975.3
2005-048,2005-C037,2005,nao_construido,1207,424,566137.2,8194775.3
2010-001,2010-C047,2010,construido,403,616,571897.2,8218895.3
2010-002,2010-C019,2010,construido,417,559,570187.2,8218475.3
2010-003,2010-C021,2010,construido,421,768,576457.2,8218355.3
2010-004,2010-C020,2010,construido,425,834,578437.2,8218235.3
2010-005,2010-C002,2010,construido,504,334,563437.2,8215865.3
2010-006,2010-C044,2010,construido,505,380,564817.2,8215835.3
2010-007,2010-C032,2010,construido,510,382,564877.2,8215685.3
2010-008,2010-C028,2010,construido,535,261,561247.2,8214935.3
2010-009,2010-C031,2010,construido,535,369,564487.2,8214935.3
2010-010,2010-C042,2010,construido,542,370,564517.2,8214725.3
2010-011,2010-C017,2010,construido,545,191,559147.2,8214635.3
2010-012,2010-C029,2010,construido,546,186,558997.2,8214605.3
2010-013,2010-C016,2010,construido,556,226,560197.2,8214305.3
2010-014,2010-C026,2010,construido,566,380,564817.2,8214005.3
2010-015,2010-C008,2010,construido,574,405,565567.2,8213765.3
2010-016,2010-C045,2010,construido,607,291,562147.2,8212775.3
2010-017,2010-C015,2010,construido,612,328,563257.2,8212625.3
2010-018,2010-C007,2010,construido,630,228,560257.2,8212085.3
2010-019,2010-C033,2010,construido,631,332,563377.2,8212055.3
2010-020,2010-C018,2010,construido,661,291,562147.2,8211155.3
2010-021,2010-C012,2010,construido,689,329,563287.2,8210315.3
2010-022,2010-C036,2010,construido,695,309,562687.2,8210135.3
2010-023,2010-C023,2010,construido,706,269,561487.2,8209805.3
2010-024,2010-C009,2010,construido,767,639,572587.2,8207975.3
2010-025,2010-C034,2010,nao_construido,55,1183,588907.2,8229335.3
2010-026,2010-C035,2010,nao_construido,106,1992,613177.2,8227805.3
2010-027,2010-C043,2010,nao_construido,113,1601,601447.2,8227595.3
2010-028,2010-C004,2010,nao_construido,117,128,557257.2,8227475.3
2010-029,2010-C038,2010,nao_construido,145,1794,607237.2,8226635.3
2010-030,2010-C003,2010,nao_construido,200,667,573427.2,8224985.3
2010-031,2010-C005,2010,nao_construido,205,185,558967.2,8224835.3
2010-032,2010-C011,2010,nao_construido,229,1431,596347.2,8224115.3
2010-033,2010-C048,2010,nao_construido,324,1713,604807.2,8221265.3
2010-034,2010-C006,2010,nao_construido,370,707,574627.2,8219885.3
2010-035,2010-C014,2010,nao_construido,528,89,556087.2,8215145.3
2010-036,2010-C041,2010,nao_construido,699,1899,610387.2,8210015.3
2010-037,2010-C025,2010,nao_construido,731,336,563497.2,8209055.3
2010-038,2010-C039,2010,nao_construido,793,781,576847.2,8207195.3
2010-039,2010-C037,2010,nao_construido,800,551,569947.2,8206985.3
2010-040,2010-C010,2010,nao_construido,946,1791,607147.2,8202605.3
2010-041,2010-C013,2010,nao_construido,948,734,575437.2,8202545.3
2010-042,2010-C040,2010,nao_construido,955,444,566737.2,8202335.3
2010-043,2010-C022,2010,nao_construido,1021,1449,596887.2,8200355.3
2010-044,2010-C027,2010,nao_construido,1158,1624,602137.2,8196245.3
2010-045,2010-C024,2010,nao_construido,1185,1425,596167.2,8195435.3
2010-046,2010-C030,2010,nao_construido,1185,1825,608167.2,8195435.3
2010-047,2010-C001,2010,nao_construido,1195,1835,608467.2,8195135.3
2010-048,2010-C046,2010,nao_construido,1219,340,563617.2,8194415.3
2015-001,2015-C008,2015,construido,321,410,565717.2,8221355.3
2015-002,2015-C019,2015,construido,375,696,574297.2,8219735.3
2015-003,2015-C005,2015,construido,411,827,578227.2,8218655.3
2015-004,2015-C021,2015,construido,417,830,578317.2,8218475.3
2015-005,2015-C025,2015,construido,422,732,575377.2,8218325.3
2015-006,2015-C047,2015,construido,456,816,577897.2,8217305.3
2015-007,2015-C015,2015,construido,470,363,564307.2,8216885.3
2015-008,2015-C027,2015,construido,479,448,566857.2,8216615.3
2015-009,2015-C035,2015,construido,488,371,564547.2,8216345.3
2015-010,2015-C037,2015,construido,500,369,564487.2,8215985.3
2015-011,2015-C028,2015,construido,501,400,565417.2,8215955.3
2015-012,2015-C013,2015,construido,522,259,561187.2,8215325.3
2015-013,2015-C023,2015,construido,523,561,570247.2,8215295.3
2015-014,2015-C046,2015,construido,533,478,567757.2,8214995.3
2015-015,2015-C017,2015,construido,546,348,563857.2,8214605.3
2015-016,2015-C006,2015,construido,555,492,568177.2,8214335.3
2015-017,2015-C048,2015,construido,579,210,559717.2,8213615.3
2015-018,2015-C001,2015,construido,595,249,560887.2,8213135.3
2015-019,2015-C033,2015,construido,605,323,563107.2,8212835.3
2015-020,2015-C009,2015,construido,634,1033,584407.2,8211965.3
2015-021,2015-C042,2015,construido,638,605,571567.2,8211845.3
2015-022,2015-C003,2015,construido,672,300,562417.2,8210825.3
2015-023,2015-C032,2015,construido,692,340,563617.2,8210225.3
2015-024,2015-C040,2015,construido,695,342,563677.2,8210135.3
2015-025,2015-C029,2015,nao_construido,50,794,577237.2,8229485.3
2015-026,2015-C022,2015,nao_construido,74,1329,593287.2,8228765.3
2015-027,2015-C020,2015,nao_construido,81,1429,596287.2,8228555.3
2015-028,2015-C004,2015,nao_construido,141,760,576217.2,8226755.3
2015-029,2015-C030,2015,nao_construido,281,1588,601057.2,8222555.3
2015-030,2015-C031,2015,nao_construido,316,2020,614017.2,8221505.3
2015-031,2015-C034,2015,nao_construido,363,1722,605077.2,8220095.3
2015-032,2015-C016,2015,nao_construido,418,2000,613417.2,8218445.3
2015-033,2015-C039,2015,nao_construido,450,1865,609367.2,8217485.3
2015-034,2015-C010,2015,nao_construido,457,205,559567.2,8217275.3
2015-035,2015-C045,2015,nao_construido,525,1636,602497.2,8215235.3
2015-036,2015-C012,2015,nao_construido,556,897,580327.2,8214305.3
2015-037,2015-C036,2015,nao_construido,583,1320,593017.2,8213495.3
2015-038,2015-C011,2015,nao_construido,595,1075,585667.2,8213135.3
2015-039,2015-C014,2015,nao_construido,827,58,555157.2,8206175.3
2015-040,2015-C044,2015,nao_construido,895,1493,598207.2,8204135.3
2015-041,2015-C007,2015,nao_construido,919,1214,589837.2,8203415.3
2015-042,2015-C041,2015,nao_construido,947,1260,591217.2,8202575.3
2015-043,2015-C043,2015,nao_construido,1002,1768,606457.2,8200925.3
2015-044,2015-C038,2015,nao_construido,1033,1337,593527.2,8199995.3
2015-045,2015-C026,2015,nao_construido,1065,632,572377.2,8199035.3
2015-046,2015-C018,2015,nao_construido,1131,1629,602287.2,8197055.3
2015-047,2015-C002,2015,nao_construido,1174,1058,585157.2,8195765.3
2015-048,2015-C024,2015,nao_construido,1224,1922,611077.2,8194265.3
2020-001,2020-C020,2020,construido,389,524,569137.2,8219315.3
2020-002,2020-C037,2020,construido,402,821,578047.2,8218925.3
2020-003,2020-C036,2020,construido,406,812,577777.2,8218805.3
2020-004,2020-C019,2020,construido,407,800,577417.2,8218775.3
2020-005,2020-C006,2020,construido,408,843,578707.2,8218745.3
2020-006,2020-C017,2020,construido,414,823,578107.2,8218565.3
2020-007,2020-C021,2020,construido,418,767,576427.2,8218445.3
2020-008,2020-C008,2020,construido,426,685,573967.2,8218205.3
2020-009,2020-C013,2020,construido,446,802,577477.2,8217605.3
2020-010,2020-C041,2020,construido,457,856,579097.2,8217275.3
2020-011,2020-C010,2020,construido,510,372,564577.2,8215685.3
2020-012,2020-C029,2020,construido,517,381,564847.2,8215475.3
2020-013,2020-C043,2020,construido,545,336,563497.2,8214635.3
2020-014,2020-C007,2020,construido,555,195,559267.2,8214335.3
2020-015,2020-C026,2020,construido,561,291,562147.2,8214155.3
2020-016,2020-C035,2020,construido,571,310,562717.2,8213855.3
2020-017,2020-C001,2020,construido,585,456,567097.2,8213435.3
2020-018,2020-C048,2020,construido,587,436,566497.2,8213375.3
2020-019,2020-C046,2020,construido,590,477,567727.2,8213285.3
2020-020,2020-C005,2020,construido,598,243,560707.2,8213045.3
2020-021,2020-C016,2020,construido,669,292,562177.2,8210915.3
2020-022,2020-C002,2020,construido,686,241,560647.2,8210405.3
2020-023,2020-C045,2020,construido,739,339,563587.2,8208815.3
2020-024,2020-C012,2020,construido,761,331,563347.2,8208155.3
2020-025,2020-C027,2020,nao_construido,55,240,560617.2,8229335.3
2020-026,2020-C009,2020,nao_construido,96,1471,597547.2,8228105.3
2020-027,2020-C022,2020,nao_construido,214,342,563677.2,8224565.3
2020-028,2020-C023,2020,nao_construido,250,88,556057.2,8223485.3
2020-029,2020-C018,2020,nao_construido,299,908,580657.2,8222015.3
2020-030,2020-C024,2020,nao_construido,306,380,564817.2,8221805.3
2020-031,2020-C047,2020,nao_construido,309,1791,607147.2,8221715.3
2020-032,2020-C015,2020,nao_construido,322,1863,609307.2,8221325.3
