id_cego,classe_referencia,interprete
cult2020-C001,outro,"Claude (Sonnet 5), interpretação visual automatizada de recorte RGB — não humana, não verdade de campo"
cult2020-C002,outro,"Claude (Sonnet 5), interpretação visual automatizada de recorte RGB — não humana, não verdade de campo"
cult2020-C003,cultivo_sequeiro,"Claude (Sonnet 5), interpretação visual automatizada de recorte RGB — não humana, não verdade de campo"
cult2020-C004,indeterminado,"Claude (Sonnet 5), interpretação visual automatizada de recorte RGB — não humana, não verdade de campo"
cult2020-C005,indeterminado,"Claude (Sonnet 5), interpretação visual automatizada de recorte RGB — não humana, não verdade de campo"
cult2020-C006,outro,"Claude (Sonnet 5), interpretação visual automatizada de recorte RGB — não humana, não verdade de campo"
cult2020-C007,outro,"Claude (Sonnet 5), interpretação visual automatizada de recorte RGB — não humana, não verdade de campo"
cult2020-C008,indeterminado,"Claude (Sonnet 5), interpretação visual automatizada de recorte RGB — não humana, não verdade de campo"
cult2020-C009,cultivo_irrigado,"Claude (Sonnet 5), interpretação visual automatizada de recorte RGB — não humana, não verdade de campo"
cult2020-C010,outro,"Claude (Sonnet 5), interpretação visual automatizada de recorte RGB — não humana, não verdade de campo"
cult2020-C011,outro,"Claude (Sonnet 5), interpretação visual automatizada de recorte RGB — não humana, não verdade de campo"
cult2020-C012,indeterminado,"Claude (Sonnet 5), interpretação visual automatizada de recorte RGB — não humana, não verdade de campo"
cult2020-C013,cultivo_irrigado,"Claude (Sonnet 5), interpretação visual automatizada de recorte RGB — não humana, não verdade de campo"
cult2020-C014,outro,"Claude (Sonnet 5), interpretação visual automatizada de recorte RGB — não humana, não verdade de campo"
cult2020-C015,cultivo_irrigado,"Claude (Sonnet 5), interpretação visual automatizada de recorte RGB — não humana, não verdade de campo"
cult2020-C016,indeterminado,"Claude (Sonnet 5), interpretação visual automatizada de recorte RGB — não humana, não verdade de campo"
cult2020-C017,outro,"Claude (Sonnet 5), interpretação visual automatizada de recorte RGB — não humana, não verdade de campo"
cult2020-C018,outro,"Claude (Sonnet 5), interpretação visual automatizada de recorte RGB — não humana, não verdade de campo"
cult2020-C019,indeterminado,"Claude (Sonnet 5), interpretação visual automatizada de recorte RGB — não humana, não verdade de campo"
cult2020-C020,outro,"Claude (Sonnet 5), interpretação visual automatizada de recorte RGB — não humana, não verdade de campo"
cult2020-C021,outro,"Claude (Sonnet 5), interpretação visual automatizada de recorte RGB — não humana, não verdade de campo"
cult2020-C022,indeterminado,"Claude (Sonnet 5), interpretação visual automatizada de recorte RGB — não humana, não verdade de campo"
cult2020-C023,cultivo_sequeiro,"Claude (Sonnet 5), interpretação visual automatizada de recorte RGB — não humana, não verdade de campo"
cult2020-C024,indeterminado,"Claude (Sonnet 5), interpretação visual automatizada de recorte RGB — não humana, não verdade de campo"
cult2020-C025,cultivo_irrigado,"Claude (Sonnet 5), interpretação visual automatizada de recorte RGB — não humana, não verdade de campo"
cult2020-C026,indeterminado,"Claude (Sonnet 5), interpretação visual automatizada de recorte RGB — não humana, não verdade de campo"
cult2020-C027,cultivo_irrigado,"Claude (Sonnet 5), interpretação visual automatizada de recorte RGB — não humana, não verdade de campo"
cult2020-C028,outro,"Claude (Sonnet 5), interpretação visual automatizada de recorte RGB — não humana, não verdade de campo"
cult2020-C029,indeterminado,"Claude (Sonnet 5), interpretação visual automatizada de recorte RGB — não humana, não verdade de campo"
cult2020-C030,outro,"Claude (Sonnet 5), interpretação visual automatizada de recorte RGB — não humana, não verdade de campo"
cult2020-C031,indeterminado,"Claude (Sonnet 5), interpretação visual automatizada de recorte RGB — não humana, não verdade de campo"
cult2020-C032,outro,"Claude (Sonnet 5), interpretação visual automatizada de recorte RGB — não humana, não verdade de campo"
cult2020-C033,cultivo_irrigado,"Claude (Sonnet 5), interpretação visual automatizada de recorte RGB — não humana, não verdade de campo"
cult2020-C034,outro,"Claude (Sonnet 5), interpretação visual automatizada de recorte RGB — não humana, não verdade de campo"
cult2020-C035,cultivo_irrigado,"Claude (Sonnet 5), interpretação visual automatizada de recorte RGB — não humana, não verdade de campo"
cult2020-C036,cultivo_sequeiro,"Claude (Sonnet 5), interpretação visual automatizada de recorte RGB — não humana, não verdade de campo"
